Batch_ID,Flour_kg_mean,Flour_kg_std,Flour_kg_max,Flour_kg_cv,Flour_kg_num_valleys,Sugar_kg_max,Sugar_kg_median,Sugar_kg_range,Sugar_kg_kurtosis,Yeast_kg_max,Yeast_kg_skewness,Yeast_kg_trend_slope,Yeast_kg_num_peaks,Salt_kg_min,Water_Temp_C_trend_pvalue,Water_Temp_C_num_valleys,Mixer_Speed_RPM_max,Mixing_Temp_C_num_valleys,Fermentation_Temp_C_std,Fermentation_Temp_C_iqr,Fermentation_Temp_C_cv,Fermentation_Temp_C_trend_pvalue,Oven_Temp_C_std,Oven_Temp_C_min,Oven_Temp_C_range,Oven_Temp_C_skewness,Oven_Temp_C_cv,Oven_Humidity_pct_min,Oven_Humidity_pct_range,Oven_Humidity_pct_trend_r2,Fermentation_Temp_C_Oven_Temp_C_correlation,Flour_kg_deviation_std,Flour_kg_max_deviation,Flour_kg_out_of_tolerance_ratio,Sugar_kg_max_deviation,Mixer_Speed_RPM_max_deviation,Mixer_Speed_RPM_critical_deviation_ratio,Fermentation_Temp_C_deviation_std,Oven_Temp_C_deviation_std,Oven_Temp_C_max_deviation,Oven_Temp_C_out_of_tolerance_ratio,Flour_kg_stability,Flour_kg_mean_change_rate,Flour_kg_change_rate_std,Flour_kg_volatility,Mixing_Temp_C_change_rate_std,Fermentation_Temp_C_stability,Fermentation_Temp_C_change_rate_std,Fermentation_Temp_C_volatility,Oven_Temp_C_volatility,Final_Weight,Quality_Score
1,9.975822173454544,0.2567818590391377,10.71757598,0.02574042064647352,15,5.320582046,4.972894746,0.7348180229999999,-0.46603025518750263,2.175911715,-0.23681454066678842,-0.0006461238794372294,16,0.915287205,2.8382907893666395e-24,11,170.9653772,9,0.17364734220730088,0.23328124500000058,0.00469501827950521,0.9102241946579568,0.9384712419112891,178.1588182,4.479063599999989,0.24474794426436394,0.0052080632928200735,43.1366856,3.565959069999998,1.316457863140215e-07,-0.04676365064119121,2.567818590391377,7.175759799999995,0.03636363636363636,8.284719539999994,14.144797733333329,0.09090909090909091,0.4693171411008132,0.5213729121729384,1.4654898888888903,0.01818181818181818,0.808008911263995,0.02826108692273393,0.021159565669554504,0.02574042064647352,0.01239040138710278,0.8580022167931523,0.004225566164339704,0.00469501827950521,0.0052080632928200735,44.16,93.75
2,10.005623963392157,0.24656642034282977,10.6114987,0.024642783023322574,12,5.277732904,4.948589518,0.6670379609999992,-0.721744384389428,2.10969785,-0.6284137217146356,-0.0004947674572850682,14,0.885403466,3.510928736560319e-19,10,171.1824753,9,0.16315872682768914,0.19670279999999707,0.004416788950819272,0.6937031716049991,0.9356852656435368,178.2742289,3.5968455999999946,0.034963446782858155,0.005199880584110248,43.42858,3.627871330000005,0.010532772903154138,-0.037682952294771546,2.465664203428298,6.114987000000003,0.0392156862745098,7.786101139999993,14.121650199999996,0.09803921568627451,0.4409695319667274,0.5198251475797426,1.0394858333333288,0.0,0.8069793666319472,0.027388833369729602,0.019572986843176318,0.024642783023322574,0.012292491156243951,0.8762905452203184,0.0036633267929303145,0.004416788950819272,0.005199880584110248,42.8,91.7
3,9.902018596369567,0.30018093698951,10.5550142,0.03031512555425487,15,5.44731059,5.0155858030000005,0.9205346929999996,-0.1565237719883008,2.200242747,-0.27213182688872645,0.00033014491199506734,10,0.892082904,2.5716627162487603e-22,8,170.4929817,8,0.16546576480892847,0.2288211499999946,0.004471956629583835,0.23900451617115528,1.0115894521949624,177.4946963,4.469958100000014,-0.179380701593368,0.005623809678460893,42.44171947,4.170884389999998,0.04938107698493213,0.10966705918620803,3.0018093698951,5.89545524,0.10869565217391304,9.464482059999995,13.797219600000005,0.10869565217391304,0.4472047697538607,0.5619941401083125,1.3918353888888961,0.06521739130434782,0.7805168441400212,0.03795657135088352,0.02236548474509975,0.03031512555425487,0.012028880762854386,0.8722413312330782,0.0038962293599656343,0.004471956629583835,0.005623809678460893,45.66,95.73
4,9.996358930679246,0.3003850679360134,10.78977423,0.030049448005925333,12,5.420408951,5.032765023,0.8144706670000001,-0.3277919293486389,2.189514861,-0.11805878820765738,0.0003976149221899683,15,0.901515777,5.243061676785919e-28,12,170.6812224,10,0.15201339499640318,0.17314068000000304,0.004108502614751919,0.017567864864970417,1.0161538992981063,177.6393411,4.617181399999993,-0.3714382125243523,0.0056424446353905075,42.83586323,4.405036420000002,0.07889265290155974,0.1187763546556894,3.003850679360134,7.897742300000007,0.09433962264150944,8.408179019999995,14.335731866666663,0.09433962264150944,0.4108470135037923,0.5645299440545034,1.311477166666669,0.03773584905660377,0.7774686245299086,0.03071318714376818,0.025411998822491885,0.030049448005925333,0.013405452081435452,0.8793049812151309,0.003375750172442988,0.004108502614751919,0.0056424446353905075,45.96,93.29
5,9.97940586774138,0.25726001070844157,10.69374457,0.025779090871535692,15,5.431269926,5.0128490175,0.7883229359999993,-0.6768639624745139,2.201355429,-0.08447229864071067,-0.0013657771477437023,18,0.905367757,1.2311793234656424e-31,8,170.292194,9,0.19333635731821916,0.2692687675000016,0.005227240587202201,0.9315770640083425,1.0434589619234385,178.1143421,4.205876100000012,0.043060046210393506,0.005794204885693004,42.66971467,4.127295670000002,0.02332100539048538,-0.20991161210417011,2.572600107084415,6.937445699999997,0.05172413793103448,8.625398519999994,13.80987539999999,0.10344827586206896,0.5225306954546465,0.5796994232907992,1.2890101111111107,0.05172413793103448,0.8081038051308406,0.025056352096879706,0.019076527956216616,0.025779090871535692,0.013274091231455728,0.844949587893075,0.004535338456074291,0.005227240587202201,0.005794204885693004,44.1,93.91
6,10.057400698888888,0.2942714280318951,10.70461672,0.029259192990531376,15,5.45157126,5.0276023895,0.9487040200000001,-0.07441961490430282,2.200965014,-0.4218707070987568,-0.0005439922884314839,15,0.875326474,5.591339361868436e-24,13,171.3974763,12,0.17588469044291408,0.27233094000000335,0.004762428641017353,0.9273961784488001,0.9651131706232495,177.5418306,4.155059200000011,-0.09693517994800974,0.005365490836204079,42.66227286,4.398149839999995,0.061611267258680706,-0.008007231459671582,2.94271428031895,7.329435919999998,0.1111111111111111,9.942655200000008,14.264984199999997,0.09259259259259259,0.4753640282240921,0.536173983679583,1.3656496666666682,0.018518518518518517,0.7915373859114682,0.0309490552341403,0.02205557967609357,0.029259192990531376,0.009884693031957253,0.8470265462035468,0.003970352590670972,0.004762428641017353,0.005365490836204079,46.92,91.53
7,10.013289944727273,0.3203919881957329,10.64461189,0.03199667541480137,12,5.473696342,4.963653292,0.8480393660000001,-0.2017255502700226,2.220938713,0.6392238807077317,-0.000984891898412699,16,0.905634202,1.3553708170732317e-27,12,171.051319,9,0.1756369240842881,0.23423212499999835,0.004752341306538864,0.8401867662895104,0.8626520349623,178.2716457,3.312004900000005,-0.19130227254430499,0.004791529680148313,42.35056352,4.551436850000002,0.0027962103246955044,-0.04714548710413312,3.203919881957329,7.430044670000005,0.12727272727272726,9.473926840000004,14.30836633333333,0.05454545454545454,0.4746943894169949,0.4792511305346111,0.960196833333337,0.0,0.7726634017095031,0.029199439892773776,0.02340623512948126,0.03199667541480137,0.011647748369471161,0.8577760654410969,0.003501809356241333,0.004752341306538864,0.004791529680148313,45.06,95.27
8,10.012843041166667,0.2558462058211769,10.60797262,0.02555180429467378,16,5.392001504,4.943058777999999,0.7462860139999998,-0.56282608561582,2.222011249,-0.008702391199101298,0.0010997563890577493,12,0.897698383,7.234019909304362e-24,8,171.0200458,8,0.16250878969436175,0.221521580000001,0.004394076410293341,0.29056133172367254,0.9325432544144511,177.5010025,4.374222900000007,-0.28058222203217803,0.005177955331466593,42.7149799,4.33521949,0.028689780026727552,0.06509444624655042,2.558462058211769,6.0797262,0.08333333333333333,7.84003007999999,14.013363866666662,0.16666666666666666,0.43921294511989667,0.5180795857858063,1.3883319444444453,0.020833333333333332,0.7945847779264694,0.03302135044724816,0.02240249905559012,0.02555180429467378,0.009113376218469492,0.8630637392260112,0.0037391129586755354,0.004394076410293341,0.005177955331466593,46.47,95.34
9,10.06837779526316,0.2958889306971093,10.70621462,0.029387944782556262,17,5.391936796,4.967677148,0.781404771,-0.6795889336837901,2.180225366,-0.05189077874303449,-0.000720951136375421,15,0.883372733,1.6056219241492548e-26,8,170.8061565,10,0.18530602763166337,0.26462149000000323,0.005013359974925869,0.5149167563122203,1.0995885074587923,177.7643482,4.7711312000000135,-0.13603685522785777,0.006109997791674493,42.64132119,4.416063999999999,0.015018954821446306,0.08200943656903344,2.958889306971093,7.062146200000008,0.07017543859649122,7.838735920000009,13.87077099999999,0.05263157894736842,0.5008271017071982,0.6108825041437735,1.4085996666666745,0.08771929824561403,0.7821260513577505,0.03460274724479131,0.025480891365794036,0.029387944782556262,0.012767035943971178,0.8507783379554829,0.0036933031151261376,0.005013359974925869,0.006109997791674493,45.45,96.41
10,9.988909871660713,0.2532056866178334,10.45843098,0.025348680673973934,15,5.394844821,4.996687446499999,0.8440426360000002,-0.05204440612044303,2.265707609,0.08737884268675057,-0.0006719363832877645,16,0.87696259,1.6469979087299925e-26,12,170.4444222,11,0.20784379641141307,0.2975107224999931,0.005611123986784349,0.17388012008108183,1.0358058463910307,177.4217071,4.730366300000014,-0.2099604224003356,0.00575427250706062,43.24221258,3.8890148999999994,4.919263977080941e-05,0.1331449593849506,2.532056866178334,6.642804560000001,0.03571428571428571,8.983956299999996,13.629614799999995,0.017857142857142856,0.5617399903011164,0.5754476924394616,1.432384944444449,0.05357142857142857,0.8030750073321009,0.033022486018129196,0.022043351105584138,0.025348680673973934,0.011420380520901547,0.8439765560616952,0.004146726019036245,0.005611123986784349,0.00575427250706062,45.94,93.95
