Batch_ID,Flour_kg_std,Flour_kg_cv,Sugar_kg_max,Sugar_kg_trend_slope,Yeast_kg_mean,Yeast_kg_median,Salt_kg_q25,Salt_kg_skewness,Water_Temp_C_mean,Water_Temp_C_max,Water_Temp_C_median,Water_Temp_C_q75,Mixer_Speed_RPM_min,Mixer_Speed_RPM_range,Mixing_Temp_C_mean,Mixing_Temp_C_max,Mixing_Temp_C_median,Mixing_Temp_C_q25,Mixing_Temp_C_q75,Mixing_Temp_C_num_peaks,Fermentation_Temp_C_range,Fermentation_Temp_C_iqr,Fermentation_Temp_C_num_valleys,Oven_Temp_C_trend_slope,Oven_Temp_C_trend_pvalue,Oven_Humidity_pct_trend_slope,Water_Temp_C_Mixing_Temp_C_diff_mean,Water_Temp_C_Fermentation_Temp_C_diff_mean,Water_Temp_C_Oven_Temp_C_correlation,Mixing_Temp_C_Fermentation_Temp_C_diff_mean,Mixing_Temp_C_Oven_Temp_C_diff_mean,Mixing_Temp_C_Oven_Temp_C_diff_std,Mixing_Temp_C_Oven_Temp_C_correlation,Flour_kg_deviation_std,Flour_kg_out_of_tolerance_ratio,Flour_kg_max_consecutive_oot,Yeast_kg_mean_deviation,Water_Temp_C_mean_deviation,Mixer_Speed_RPM_max_consecutive_oot,Mixing_Temp_C_mean_deviation,Fermentation_Temp_C_max_deviation,Flour_kg_stability,Flour_kg_change_rate_std,Flour_kg_volatility,Salt_kg_change_rate_std,Mixer_Speed_RPM_stability,Mixer_Speed_RPM_mean_change_rate,Mixing_Temp_C_mean_change_rate,Fermentation_Temp_C_mean_change_rate,Fermentation_Temp_C_change_rate_std,Final_Weight,Quality_Score
1,0.2547876846694422,0.025511967825586707,5.320582046,-0.0012400882692307704,2.0074678533584907,2.010841247,0.982195398,-0.4862036770103055,26.513129381509437,28.03899956,26.46396236,27.26540026,128.7828034,41.54052709999999,38.02849024754716,41.0542188,38.13687848,36.71515052,39.39250982,12,0.7526220100000032,0.22437887999999617,16,-0.02009393692952754,0.01894828241600482,-0.0023335172544750866,-11.515360866037737,-10.48556914,-0.22792818090823816,1.029791726037736,-142.06027452415097,2.234658593011457,-0.3295049184824172,2.5478768466944217,0.03773584905660377,1,0.37339266792452774,0.04954483588465622,20,0.07497433565044695,1.2565940000000047,0.8205002599132605,0.018781229247633487,0.025511967825586707,0.03320437510604053,0.3204347462774703,0.010747577330376092,0.015357764707526684,0.005806833856042952,0.004214170368041278,45.18,96.3
2,0.2615030789813962,0.026091134888174466,5.421032276,0.0019176622077890701,1.994870771584906,2.012101839,0.95032035,-0.1086662142270789,26.53498651301886,28.06416042,26.57006818,27.23341585,128.8891151,42.293360199999995,37.93808135132076,41.08769721,37.99864703,36.4414633,39.5776691,10,0.7555865900000001,0.20931424000000476,12,0.017811011860990166,0.034402446816963125,-0.004170453147073038,-11.403094838301888,-10.416943478867923,0.2283034294340157,0.9861513594339626,-141.95771031471696,1.8951864550938413,0.23593970064140185,2.6150307898139618,0.07547169811320754,1,-0.2564614207547168,0.13202457742969043,20,-0.1629438123138028,1.174365945945952,0.8008936254167005,0.02436029745489191,0.026091134888174466,0.041339704534414906,0.3032024419548787,0.011518878485518674,0.01376447746575338,0.004610681645056715,0.0038412722210728364,44.04,91.93
3,0.3040595778245151,0.030638412769629107,5.44731059,0.0025109443290816332,2.0116244369166663,2.0027347835000002,0.9745371205,-0.33032977305127764,26.333125446875,28.0839731,26.25751703,27.059760615,129.3041706,41.18881110000001,37.74562350708334,40.80834796,37.705342115,36.308693160000004,39.22604078,10,0.7572785199999998,0.2230487499999967,12,-0.0001854229754668849,0.986830247890059,-0.016044368923686478,-11.412498060208334,-10.663434192708333,0.1349827562347487,0.7490638674999995,-142.0773360325,1.981523643815619,0.01574127433876114,3.0405957782451507,0.10416666666666667,1,0.5812218458333331,-0.6297152948113218,20,-0.6694118234649129,1.0674598918918827,0.7733055922914933,0.023908610807116145,0.030638412769629107,0.045432887099985886,0.28544326069102044,0.012960669724771594,0.015934993571331955,0.004797191726723842,0.003941893047661058,43.97,91.36
4,0.2968439150016525,0.02970733427791957,5.541323659,-0.0002557391196874456,1.9794659957592595,1.98789454,0.9528197575,0.06505135396372524,26.387846041111114,27.73607771,26.41493622,27.086142215,128.4964022,42.18482019999999,37.89615385092593,41.12567489,37.789877634999996,36.5523567325,39.388668785,9,0.6493860200000015,0.1710567800000078,11,0.011639842771107457,0.2190435385088978,-0.020695966884314843,-11.508307809814816,-10.61424073925926,0.13446012142794936,0.8940670705555561,-142.1367026175926,1.9409345568389678,0.128765938967229,2.9684391500165255,0.09259259259259259,2,-1.0267002120370357,-0.4232224863731655,20,-0.2732793396686152,0.9065184864864838,0.7793237954966469,0.02470144181489932,0.02970733427791957,0.03897799978278207,0.2970933698761651,0.011671501782459577,0.014606678054948436,0.004212451967482024,0.0034785667676106905,43.44,95.0
5,0.2591929005710933,0.02596818991914256,5.431269926,0.0009520572677599135,2.0060504028245614,1.995706481,0.98861395,-0.4305343133945404,26.46630789315789,28.04552851,26.49086626,27.16406578,129.2851869,41.00700709999998,38.06055633157895,41.31084794,38.46251929,36.63769766,39.37022202,13,0.88090957,0.2615803600000035,16,-0.01791054738786621,0.028736352389575438,-0.010840208922089688,-11.594248438421053,-10.524490710000002,-0.2994895862562052,1.0697577284210529,-141.99519769649123,2.3564803221261332,-0.29534739270957083,2.5919290057109325,0.05263157894736842,1,0.30252014122807014,-0.12714002581926512,21,0.1593587673130204,1.2125642972972974,0.806505038218727,0.0192434494794467,0.02596818991914256,0.034233982217714974,0.3092955929024884,0.010990124943973913,0.017278697473765568,0.006511494784717159,0.004549956904129049,45.32,93.42
6,0.3181826108410322,0.03169391838453775,5.45157126,-0.0013674044894336926,2.007333947034483,2.0191502540000004,0.9598296165,-0.4451022342430753,26.475380401206895,28.32865783,26.47906058,27.215929867499998,129.7402533,41.65722299999999,37.889303777413794,41.57455428,37.71992419,36.490044867499996,39.590229845,10,0.7532823000000022,0.27494302000000914,17,-0.007657218136515954,0.3069804444109777,0.012037887066043276,-11.413923376206899,-10.46348411275862,-0.028743214336713615,0.9504392634482763,-142.0109171225862,2.111779205813936,-0.14590882424934237,3.181826108410322,0.13793103448275862,1,0.36669735172413953,-0.09290414638907052,21,-0.2913058489110701,1.3340906756756734,0.7758787649799719,0.0219918759860983,0.03169391838453775,0.036953225416613104,0.3169584797853551,0.010721441134128797,0.0131919182675585,0.005973994964713366,0.0038062994616995835,45.27,92.75
7,0.31236745136628025,0.03111946909530154,5.473696342,-0.00042868328455087984,1.9672255203396232,1.95328593,0.961295426,0.2999192431535565,26.375757789999998,28.10383103,26.27575533,27.18829682,128.5374505,42.5138685,37.751340056981135,40.76525898,37.85386632,36.10353876,39.30668551,8,0.6893443900000022,0.22465349000000145,12,-0.002194151636832833,0.7735474534386844,-0.0018103428543783306,-11.375582266981132,-10.576749887735849,-0.0460024736350018,0.798832379245283,-142.29583709584904,1.9793798911713578,-0.03506902960076204,3.123674513662803,0.11320754716981132,1,-1.6387239830188685,-0.46883852830188744,19,-0.6543682711022835,1.21540354054054,0.7775924652014702,0.02385920427414094,0.03111946909530154,0.04266290488428695,0.3082889402105658,0.011860228417431775,0.013917105785728577,0.004949928890148447,0.003360711285924045,43.53,97.34
8,0.25422023505567043,0.025406160858419364,5.392001504,-0.0005091754884513785,2.03102849552,2.021888862,0.95838488475,0.04160377384490556,26.533689029799998,28.38198346,26.613241265,27.1896452925,129.0954619,41.92458389999999,37.9637136138,41.13998585,37.898296155,36.3230769325,39.5883636225,8,0.7543842599999948,0.217715237500002,15,0.004903172739495855,0.5969568403315496,0.011051982325090042,-11.430024583999998,-10.451633096599998,0.07078460423535649,0.9783914874,-142.09770384019998,1.8735056015487335,0.1057563172962868,2.5422023505567046,0.08,1,1.5514247760000002,0.127128414339622,20,-0.09549049000000043,1.0732618918918841,0.799875741447584,0.0228757468894652,0.025406160858419364,0.0436331452670951,0.292391794537599,0.011713507949868458,0.014128264258716623,0.005372252819328383,0.003666919168547499,44.99,92.85
9,0.29070844170957805,0.028899052865648416,5.391936796,-0.0002792780293233097,2.003217110607143,2.0029137795,0.9637729807500001,-0.05934835046042571,26.53261422339286,28.31981513,26.584158375,27.1517288075,129.2481714,41.557985099999996,37.82333697410714,40.92484201,37.95273179,36.4410424825,39.487223575,10,0.7575024699999986,0.26156243500000187,16,0.004318661510594733,0.6317577633688237,-0.0063610671083390215,-11.290722750714284,-10.424743082857143,0.14370411693896493,0.8659796678571429,-142.17756939375,2.1174213053243283,0.13011620084622635,2.9070844170957804,0.05357142857142857,1,0.16085553035714323,0.1230725411051217,19,-0.46490269971804526,1.1681957297297252,0.7846842923171495,0.02481982458730631,0.028899052865648416,0.044968386441929575,0.3115074513014839,0.01045342994716812,0.014746831747613131,0.005665232181017375,0.003631088687770774,44.07,94.84
10,0.2519530994291896,0.025210475931475983,5.394844821,0.0009582230965504091,2.014546904888889,2.0114407925,0.9714137442499999,-0.46858672607671265,26.462463134259256,28.07974238,26.464018275,27.2241651225,130.143328,40.301094199999994,37.830412870925926,40.59675164,37.82165201,36.44386866,39.4582120125,9,0.8072522399999968,0.2516227500000028,15,0.004326562283209371,0.6261454586431664,-0.0031072886979226504,-11.367949736666667,-10.56033869388889,0.17506536151393295,0.8076110427777773,-142.22100753833334,2.0220775608023582,0.08312288034984583,2.519530994291896,0.037037037037037035,1,0.7273452444444444,-0.1416485499650593,20,-0.4462819186159852,1.1103219459459441,0.8083158714747308,0.021393883696410827,0.025210475931475983,0.05075855710866004,0.31412660367104117,0.010563949657118762,0.016565445943556818,0.005213036947114524,0.0037913962233026835,44.89,93.98
