Batch_ID,Flour_kg_skewness,Flour_kg_num_peaks,Sugar_kg_min,Sugar_kg_range,Sugar_kg_q75,Sugar_kg_skewness,Sugar_kg_kurtosis,Sugar_kg_num_valleys,Yeast_kg_min,Yeast_kg_skewness,Yeast_kg_kurtosis,Yeast_kg_trend_r2,Yeast_kg_trend_pvalue,Yeast_kg_num_valleys,Salt_kg_std,Salt_kg_min,Salt_kg_iqr,Salt_kg_cv,Salt_kg_trend_r2,Salt_kg_trend_pvalue,Water_Temp_C_trend_r2,Water_Temp_C_trend_pvalue,Water_Temp_C_num_peaks,Water_Temp_C_num_valleys,Mixer_Speed_RPM_min,Mixer_Speed_RPM_max,Mixing_Temp_C_median,Mixing_Temp_C_q75,Mixing_Temp_C_skewness,Mixing_Temp_C_num_valleys,Oven_Temp_C_min,Oven_Humidity_pct_max,Oven_Humidity_pct_q75,Oven_Humidity_pct_skewness,Water_Temp_C_Oven_Temp_C_correlation,Yeast_kg_out_of_tolerance_ratio,Salt_kg_deviation_std,Salt_kg_max_deviation,Water_Temp_C_max_consecutive_oot,Mixer_Speed_RPM_max_consecutive_oot,Oven_Temp_C_max_deviation,Flour_kg_mean_change_rate,Sugar_kg_mean_change_rate,Yeast_kg_stability,Yeast_kg_mean_change_rate,Salt_kg_volatility,Water_Temp_C_stability,Water_Temp_C_mean_change_rate,Water_Temp_C_change_rate_std,Oven_Temp_C_change_rate_std,Final_Weight,Quality_Score
1,0.18633888452832684,14,4.585764023,0.7348180229999999,5.073420371,-0.05219405479022306,-0.45720271651107325,13,1.812602992,-0.2923401041346656,-0.4139220903935037,0.0281838609148639,0.22952030811165153,16,0.04581234667457164,0.915287205,0.06720604800000007,0.04510097756127474,0.008154799619432955,0.5201838550614486,0.8549242253236607,5.004403133840096e-23,10,11,128.7828034,170.3233305,38.13687848,39.39250982,-0.12616789586300378,9,177.8749051,46.70264467,45.72244699,-0.18068493519718237,-0.22792818090823816,0.11320754716981132,4.581234667457164,9.037951600000005,1,20,1.4654898888888903,0.02630185309718702,0.03584518804212789,0.9180728810766078,0.05477817014052466,0.04510097756127474,0.7542839364367716,0.014234821889216766,0.011513922588874945,0.004454748021298302,44.79,91.93
2,0.48230942578621266,16,4.610694943,0.8103373329999997,5.110203412,0.17369587570418715,-0.3773940783915144,12,1.818697776,-0.5258631555511035,-0.5892872091514803,0.0059341325512178526,0.5835174235653271,13,0.050379487112584866,0.885403466,0.07784347800000002,0.050820573347738894,0.00476625442272195,0.6232802330178981,0.8195787122324999,1.3267311920445129e-20,11,9,128.8891151,171.1824753,37.99864703,39.5776691,0.019839890622896917,10,177.7547702,47.05645133,45.70640562,0.36688854480443694,0.2283034294340157,0.05660377358490566,5.037948711258487,11.459653400000002,1,20,1.2473498888888912,0.030441495135534184,0.03348868920790187,0.934036930369444,0.04157059410867321,0.050820573347738894,0.7272502847288682,0.015912435224868293,0.013256543929530467,0.004721667309260563,43.41,94.21
3,0.06572116345349491,15,4.526775897,0.9205346929999996,5.1462113625,-0.15090547781222916,-0.34315663852851186,13,1.760534774,-0.1734791863966318,-0.34808609021580983,0.005296805908747241,0.6230090397810173,12,0.04387071738591274,0.892082904,0.05163983225000002,0.043928344323165475,0.010750280505241133,0.4831163451446886,0.8865819693932364,2.2432605879586918e-23,11,9,129.3041706,170.4929817,37.705342115,39.22604078,0.1836189894003313,9,177.4946963,46.45560048,45.4890166925,-0.16744795729066758,0.1349827562347487,0.1875,4.387071738591275,10.795605800000008,1,20,1.3918353888888961,0.03803241830767269,0.04682535404330572,0.9136770322157435,0.05378275644154754,0.043928344323165475,0.7759008596820365,0.013725150362461679,0.00972189256727524,0.004258664225324711,44.58,93.22
4,0.2366108687961052,14,4.605938284,0.9353853750000001,5.1667999655,0.2724890309388697,-0.007142281586101973,15,1.77747041,-0.12403023591314331,-0.7017595036366715,0.0007004297045148833,0.8493369938526389,17,0.04281898377690695,0.901515777,0.07262513549999994,0.04325462009593607,0.00306966755864079,0.6906905060731645,0.908616166145477,1.107793382711163e-28,11,11,128.4964022,170.6812224,37.789877634999996,39.388668785,-0.09423452890265761,11,177.399425,46.85747721,45.757553085,-0.1317832828100878,0.13446012142794936,0.16666666666666666,4.2818983776906965,9.848422300000003,2,20,1.4447638888888845,0.030070966850039203,0.04047267224935051,0.9149799188894732,0.06167344666164822,0.04325462009593607,0.7929427359738929,0.011323880532507883,0.00977968433687226,0.004649426343015738,45.11,97.64
5,0.2886212956111781,13,4.64294699,0.7883229359999993,5.160248891,0.13368193708280074,-0.6719039180501523,16,1.804133486,0.02221471115375252,-0.7603825102018837,0.038545226137316986,0.14327506662602396,19,0.042854692509468426,0.905367757,0.042943285,0.042678482389540986,0.00017202098309830716,0.9228601819432352,0.9167792507833004,2.2611686052966626e-31,10,8,129.2851869,170.292194,38.46251929,39.37022202,-0.1844299680855682,9,178.1143421,46.79701034,45.79529076,-0.306296159780892,-0.2994895862562052,0.15789473684210525,4.285469250946843,9.971724700000006,2,21,1.2890101111111107,0.02549794586675285,0.043101486994497375,0.9095681014594561,0.062399363424671096,0.042678482389540986,0.7981682586867151,0.010566305817820325,0.008155929141036165,0.0044778941955685445,47.02,95.15
6,-0.19347116471016212,13,4.50286724,0.9487040200000001,5.135902858750001,0.09585509571032523,-0.1267897073820019,13,1.749724962,-0.40848734058329955,0.07248533719932482,5.50860138323277e-05,0.9559038407898683,14,0.04622623105329949,0.875326474,0.05947215049999999,0.04687379967537489,0.011704104891802807,0.4188849717662807,0.877542085192444,3.2875056541922056e-27,15,12,129.7402533,171.3974763,37.71992419,39.590229845,0.08815193526165718,12,177.5418306,47.87763752,45.6023524625,0.1619271639053818,-0.028743214336713615,0.10344827586206896,4.622623105329948,12.467352600000003,1,21,1.3656496666666682,0.032463014875524956,0.03963747710484532,0.9146321268309058,0.05376205286094332,0.04687379967537489,0.7430364537052133,0.017076630853065353,0.011283976782853573,0.004367767574266337,43.19,93.61
7,-0.05649215443550656,12,4.625656976,0.8480393660000001,5.112288892,0.30566255939531833,-0.11992352794239558,15,1.802161508,0.7126549668749149,0.2950399553672076,0.0296290875311181,0.21777158348964595,15,0.04887150540803438,0.912895877,0.06309034499999999,0.049145171034755325,0.0009762978503968573,0.8242339851702645,0.8944665091031431,1.464654632124153e-26,7,11,128.5374505,171.051319,37.85386632,39.30668551,-0.03463782548849135,8,178.4240803,46.90200037,45.88727619,-0.6019805914626017,-0.0460024736350018,0.1320754716981132,4.887150540803439,9.511415700000004,1,19,0.879805888888888,0.02812741238643424,0.042491442518478216,0.9218527312223995,0.04847000336995286,0.049145171034755325,0.7610139425107247,0.013790845296776945,0.009900546874368988,0.004507252080794931,45.68,92.55
8,0.22841147757475436,16,4.64571549,0.7462860139999998,5.111207495,0.33654395070242077,-0.5884868549053843,16,1.729459637,-0.3688174282561691,0.18613289932542143,0.052274933024305095,0.11025406139206896,13,0.051412188351735985,0.897698383,0.08653860450000006,0.05155015914730485,0.007286744609602735,0.5555834850213625,0.8994745150702488,1.3668657232352878e-25,7,9,129.0954619,171.0200458,37.898296155,39.5883636225,0.05811464919146748,8,177.5010025,47.05019939,45.6415013075,0.07142249834104603,0.07078460423535649,0.2,5.141218835173599,10.230161699999996,1,20,1.3883319444444453,0.03180013700089383,0.042120105302752196,0.9031440629731075,0.05744557022331979,0.05155015914730485,0.7717074081526198,0.011875157493139422,0.009318084348122398,0.0040284266242530675,44.74,92.4
9,-0.04808347715660457,16,4.610532025,0.781404771,5.1128786175,0.13984670960674625,-0.6931934638601911,18,1.842277036,-0.05802743381407417,0.13910166177506067,0.02936193350620726,0.20668531703901855,16,0.05238233159306188,0.883372733,0.0687423852500001,0.0526683944388103,0.0036734840360682737,0.6572328262333103,0.8731317699387223,7.121978104272307e-26,12,8,129.2481714,170.8061565,37.95273179,39.487223575,-0.25269879315494204,10,177.7643482,47.05738519,45.7303232975,-0.4010697973344909,0.14370411693896493,0.05357142857142857,5.238233159306189,11.662726700000004,1,19,1.4085996666666745,0.03438570742014767,0.0501049505985121,0.9358302011357832,0.039950594554741606,0.0526683944388103,0.7660993406108942,0.013013422869930721,0.008895000677470212,0.004750366558394757,45.79,99.22
10,-0.517155231357089,20,4.550802185,0.8440426360000002,5.09181033,-0.07063924037712348,-0.0029276467874801426,15,1.77708741,0.07324914583575241,0.2817688272941812,0.004514313996206298,0.6292895959122513,17,0.05157990200637891,0.87696259,0.06794390900000002,0.051411537422412786,0.0048666164408835135,0.6161924785362596,0.876135637032318,3.0622498796596344e-25,10,10,130.143328,170.4444222,37.82165201,39.4582120125,-0.15775653524749458,10,177.4217071,47.13122748,45.4535204425,0.017309083637696888,0.17506536151393295,0.07407407407407407,5.157990200637891,12.303741000000002,2,20,1.432384944444449,0.03191280191133399,0.040212786045179215,0.9249583297466123,0.04685855756959604,0.051411537422412786,0.7536288257748157,0.015068434552696987,0.009649642654254827,0.004976718942402569,43.31,91.3
