Batch_ID,Flour_kg_mean,Flour_kg_min,Flour_kg_median,Flour_kg_q25,Salt_kg_std,Salt_kg_q75,Salt_kg_skewness,Salt_kg_cv,Water_Temp_C_num_peaks,Mixer_Speed_RPM_std,Mixer_Speed_RPM_q25,Mixer_Speed_RPM_iqr,Mixer_Speed_RPM_trend_slope,Mixing_Temp_C_max,Mixing_Temp_C_range,Mixing_Temp_C_num_valleys,Fermentation_Temp_C_mean,Fermentation_Temp_C_std,Fermentation_Temp_C_min,Fermentation_Temp_C_q25,Fermentation_Temp_C_cv,Oven_Temp_C_std,Oven_Temp_C_median,Oven_Temp_C_range,Oven_Temp_C_cv,Oven_Temp_C_trend_r2,Oven_Temp_C_trend_pvalue,Oven_Temp_C_num_peaks,Oven_Humidity_pct_num_peaks,time_steps,avg_time_step,Water_Temp_C_Oven_Temp_C_diff_std,Mixing_Temp_C_Oven_Temp_C_diff_std,Fermentation_Temp_C_Oven_Temp_C_diff_std,rpm_per_kg_flour,Flour_kg_mean_deviation,Salt_kg_deviation_std,Water_Temp_C_max_deviation,Mixer_Speed_RPM_deviation_std,Mixing_Temp_C_max_deviation,Fermentation_Temp_C_mean_deviation,Fermentation_Temp_C_deviation_std,Oven_Temp_C_deviation_std,Yeast_kg_change_rate_std,Salt_kg_volatility,Mixer_Speed_RPM_mean_change_rate,Fermentation_Temp_C_volatility,Oven_Temp_C_mean_change_rate,Oven_Temp_C_change_rate_std,Oven_Temp_C_volatility,Final_Weight,Quality_Score
1,9.975822173454544,9.473368631,9.978489761,9.788889309,0.04624417677132288,1.049219154,-0.37118334336536457,0.04551918488762831,11,14.812521745403176,135.30250215,30.107401600000003,-0.7796257053318905,41.0542188,6.21479832,9,36.98544539545454,0.17364734220730088,36.68287486,36.873270135,0.00469501827950521,0.9384712419112891,180.2022259,4.479063599999989,0.0052080632928200735,0.11212176269178711,0.012460015246738954,16,17,55,1.0727272727272728,1.4224380452882541,2.2562359534318626,0.9535641359713259,15.121636670122092,-0.2417782654545468,4.624417677132288,6.28075,9.875014496935451,8.317314526315785,-0.03933676904176966,0.4693171411008132,0.5213729121729384,0.03872637667749807,0.04551918488762831,0.011065936194803418,0.00469501827950521,0.005829259857344344,0.004477487421415753,0.0052080632928200735,45.53,92.89
2,10.005623963392157,9.500765156,9.963663028,9.823654593499999,0.05084874796985454,1.031193176,-0.05279194101290699,0.05129602222246823,12,15.353509978267152,134.9598436,30.774329999999992,-0.872307895647059,41.08769721,6.403228540000001,9,36.94057575411765,0.16315872682768914,36.5654846,36.85286544,0.004416788950819272,0.9356852656435368,179.9174646,3.5968455999999946,0.005199880584110248,0.03964933964455787,0.16126469608193308,14,15,51,1.1372549019607843,1.1568179849493132,1.914544034164926,0.9464243538102864,15.10896214774386,0.05623963392156885,5.084874796985454,6.532620150943397,10.235673318844768,8.725082447368418,-0.16060606995230542,0.4409695319667274,0.5198251475797426,0.03822815209843711,0.05129602222246823,0.011991573713202905,0.004416788950819272,0.00574314698468554,0.004838890200368218,0.005199880584110248,45.0,91.81
3,9.902018596369567,9.410454476,9.8857990575,9.619774572250002,0.040782100516791826,1.0234066350000002,-0.5636759317653441,0.04105823725408469,11,15.17633782566473,134.80831725000002,31.47235224999997,-0.9238019771384519,40.80834796,5.74233263,8,37.00075347652173,0.16546576480892847,36.63768164,36.864633125000005,0.004471956629583835,1.0115894521949624,179.77936665,4.469958100000014,0.005623809678460893,0.0031094175064436077,0.7128167719942042,12,14,46,1.2826086956521738,1.2792327897912592,2.0099818872808117,0.9959599473373548,15.306695785320716,-0.9798140363043466,4.078210051679183,6.12036520754717,10.117558550443153,7.721012289473688,0.0020364230317279595,0.4472047697538607,0.5619941401083125,0.041941509773976975,0.04105823725408469,0.013294873777687607,0.004471956629583835,0.005934196340874261,0.004322828921102128,0.005623809678460893,43.4,96.27
4,9.996358930679246,9.382338796,9.994797599,9.815851894,0.042721034539374904,1.025189467,0.09190875217513511,0.04324684693047229,12,14.744861568747366,135.0559543,29.636030300000016,-0.7818878125141104,41.12567489,6.63071162,10,36.99970749698114,0.15201339499640318,36.68602582,36.91306126,0.004108502614751919,1.0161538992981063,180.1931146,4.617181399999993,0.0056424446353905075,0.016443691036755657,0.36015229274426086,15,16,53,1.1132075471698113,1.2649871985989316,2.0002609482868077,0.9998780965561753,14.99064717383531,-0.036410693207546946,4.27210345393749,6.615339622641507,9.829907712498242,9.223780868421054,-0.0007905486996435548,0.4108470135037923,0.5645299440545034,0.043828595916435086,0.04324684693047229,0.011606269812372507,0.004108502614751919,0.0058621575267383715,0.003818616777708088,0.0056424446353905075,45.39,95.72
5,9.97940586774138,9.447118928,9.9571904355,9.78460507325,0.04288311951155929,1.0339050057499999,-0.4564070899597699,0.04267394103412913,11,14.560776956023583,135.2115763,28.700167850000014,-0.7044448611492201,41.31084794,7.033218359999999,9,36.98631315948276,0.19333635731821916,36.56773922,36.850185635,0.005227240587202201,1.0434589619234385,180.18251105000002,4.205876100000012,0.005794204885693004,0.06803759932084018,0.047969580227481164,17,17,58,1.0172413793103448,1.5668377978083456,2.33651893709767,1.0908725131555623,14.975440116853541,-0.2059413225862067,4.288311951155929,6.793542679245289,9.707184637349055,9.795711631578941,-0.036991460857408974,0.5225306954546465,0.5796994232907992,0.04284084408283946,0.04267394103412913,0.010797639839165717,0.005227240587202201,0.006251081426710183,0.00449286683655585,0.005794204885693004,46.22,96.26
6,10.057400698888888,9.267056408,10.020005784999999,9.85244505425,0.04730341415316101,1.022911142,-0.5067781297594576,0.047907137592689795,15,14.834028994466433,136.505438275,28.406299675000014,-0.7824988932570994,41.57455428,6.5921077100000005,12,36.93172196388889,0.17588469044291408,36.50638645,36.810812567499994,0.004762428641017353,0.9651131706232495,179.93013875000003,4.155059200000011,0.005365490836204079,0.012371431860393018,0.4232985367171962,15,17,54,1.0740740740740742,1.2830381145531866,2.0223550593151325,0.9732549088362458,15.025062108228692,0.5740069888888883,4.7303414153161,6.9005955849056635,9.889352662977622,9.406721789473686,-0.18453523273273348,0.4753640282240921,0.536173983679583,0.0426014044116175,0.047907137592689795,0.011290344942574727,0.004762428641017353,0.005953598812092135,0.004439242394157718,0.005365490836204079,45.74,97.38
7,10.013289944727273,9.256995533,9.991058865,9.7855780065,0.05060584866829226,1.028689126,0.2991137944641071,0.05084817724014494,8,14.656735384110457,135.59515775,29.60946575,-0.7363113641991342,40.76525898,6.200068129999998,9,36.95797771145455,0.1756369240842881,36.55030069,36.857420425,0.004752341306538864,0.8626520349623,180.0905839,3.312004900000005,0.004791529680148313,0.008726024717763488,0.4975534900410046,17,18,55,1.0545454545454545,1.3616207718595157,2.0755885203135973,0.8803137253688735,15.043604839772597,0.1328994472727261,5.060584866829225,7.828893622641512,9.771156922740305,9.03897144736842,-0.11357375282555221,0.4746943894169949,0.4792511305346111,0.03643933834322673,0.05084817724014494,0.011692014335240405,0.004752341306538864,0.00640293127019952,0.004638869036816357,0.004791529680148313,45.43,90.67
8,10.012843041166667,9.488679885,9.99607572,9.82040094875,0.051247098569220516,1.0491199502500002,0.014386656750268406,0.051296003596626165,6,15.780929572839261,133.44224425,32.88936422500001,-0.9808176600195395,40.8787941,5.781344959999998,8,36.98360577291667,0.16250878969436175,36.64272264,36.862571405,0.004394076410293341,0.9325432544144511,180.1171385,4.374222900000007,0.005177955331466593,0.004492847678810237,0.6507957265721216,13,12,48,1.2083333333333333,1.233532738180149,1.819174306794474,0.9263151566404544,15.039416880404898,0.12843041166666716,5.124709856922052,6.531688981132078,10.520619715226175,7.6382917368421,-0.044308721846847275,0.43921294511989667,0.5180795857858063,0.03803015164840644,0.051296003596626165,0.012226473826023182,0.004394076410293341,0.005702116476986352,0.004076738197929174,0.005177955331466593,44.44,93.49
9,10.06837779526316,9.519065123,10.1102081,9.789801669,0.05307334651583593,1.037602319,-0.06966874548338833,0.05328484374823118,12,14.346263115205977,136.2242175,28.80934339999999,-0.703203184845735,40.92484201,7.178624859999999,10,36.96244206649123,0.18530602763166337,36.56776758,36.82980431,0.005013359974925869,1.0995885074587923,180.1190766,4.7711312000000135,0.006109997791674493,0.010177640878824314,0.4552485794082316,16,15,57,1.0350877192982457,1.2496123665481706,2.1000428536778544,1.0903138858376074,14.923618720541853,0.6837779526315796,5.307334651583592,6.867226905660371,9.564175410137318,11.194165394736844,-0.1015079284020865,0.5008271017071982,0.6108825041437735,0.030054717941986036,0.05328484374823118,0.010266703732751773,0.005013359974925869,0.006448074432470875,0.00480534366918713,0.006109997791674493,46.06,92.19
10,9.988909871660713,9.335719544,10.023128419999999,9.8184880435,0.05183332498918373,1.04467529375,-0.43554265037824386,0.05150679214432439,12,14.74133182157901,135.8342116,29.707174374999994,-0.7363242313431305,40.59675164,6.678584409999999,11,37.04138366946428,0.20784379641141307,36.60356688,36.902563235,0.005611123986784349,1.0358058463910307,180.118031,4.730366300000014,0.00575427250706062,3.3755874177268258e-06,0.9892776887919599,15,18,56,1.0535714285714286,1.2745952242187855,2.1156982833917444,1.0197342033428423,15.122566140467429,-0.1109012833928572,5.183332498918372,6.725953094339627,9.827554547719341,10.741665184210522,0.11184775530888079,0.5617399903011164,0.5754476924394616,0.03383158086708553,0.05150679214432439,0.010082737901550252,0.005611123986784349,0.006552855706841192,0.005172140074180675,0.00575427250706062,45.72,96.07
