Batch_ID,Flour_kg_q75,Sugar_kg_mean,Sugar_kg_max,Sugar_kg_median,Sugar_kg_q25,Sugar_kg_q75,Sugar_kg_num_peaks,Yeast_kg_max,Yeast_kg_skewness,Yeast_kg_trend_slope,Yeast_kg_trend_r2,Salt_kg_median,Salt_kg_q75,Water_Temp_C_trend_r2,Water_Temp_C_trend_pvalue,Mixer_Speed_RPM_std,Mixer_Speed_RPM_iqr,Mixer_Speed_RPM_kurtosis,Mixer_Speed_RPM_cv,Mixer_Speed_RPM_trend_slope,Mixing_Temp_C_max,Mixing_Temp_C_range,Mixing_Temp_C_q75,Mixing_Temp_C_kurtosis,Mixing_Temp_C_num_peaks,Fermentation_Temp_C_kurtosis,Fermentation_Temp_C_num_valleys,Oven_Temp_C_q25,Oven_Temp_C_iqr,Oven_Temp_C_num_valleys,time_steps,avg_time_step,time_consistency,time_regularity,Water_Temp_C_Mixing_Temp_C_correlation,Water_Temp_C_Oven_Temp_C_correlation,rpm_per_kg_flour,Sugar_kg_mean_deviation,Salt_kg_max_consecutive_oot,Mixer_Speed_RPM_deviation_std,Mixer_Speed_RPM_max_deviation,Mixer_Speed_RPM_out_of_tolerance_ratio,Mixing_Temp_C_max_deviation,Sugar_kg_stability,Sugar_kg_mean_change_rate,Water_Temp_C_stability,Water_Temp_C_change_rate_std,Mixer_Speed_RPM_change_rate_std,Mixer_Speed_RPM_volatility,Fermentation_Temp_C_change_rate_std,Final_Weight,Quality_Score
1,10.135566834999999,4.968058721418181,5.320582046,4.972894746,4.847174332,5.07787132,15,2.175911715,-0.23681454066678842,-0.0006461238794372294,0.012783825420533785,1.026037806,1.049219154,0.8598612262944758,2.8382907893666395e-24,14.812521745403176,30.107401600000003,-1.5705029943901916,0.09819322026104779,-0.7796257053318905,41.0542188,6.21479832,39.372668489999995,-1.1811502841602668,11,-0.005047644390645534,16,179.47794115,1.514456100000018,16,55,1.0727272727272728,0.34793137459362844,0.741877530895427,0.869757263582852,-0.2661879210386665,15.121636670122092,-0.6388255716363648,1,9.875014496935451,14.144797733333329,0.7272727272727273,8.317314526315785,0.8586900173731417,0.03763310979044259,0.7573075667355497,0.011823613371928563,0.007017177116258317,0.09819322026104779,0.004225566164339704,42.2,95.47
2,10.140032825,4.953046524960785,5.277732904,4.948589518,4.819671342,5.099464124000001,10,2.10969785,-0.6284137217146356,-0.0004947674572850682,0.008221951950739194,0.99021488,1.031193176,0.8078989804674936,3.510928736560319e-19,15.353509978267152,30.774329999999992,-1.6145421442787355,0.10156144362423505,-0.872307895647059,41.08769721,6.403228540000001,39.486693295,-1.193752430974518,10,-0.17374535852456585,11,179.3010363,1.3548054500000148,14,51,1.1372549019607843,0.463033476111609,0.6835113593283999,0.8863375464231661,0.1425102366126531,15.10896214774386,-0.9390695007843138,1,10.235673318844768,14.121650199999996,0.7647058823529411,8.725082447368418,0.8751634160466224,0.03274558498694614,0.7246615469738471,0.01338639081693886,0.009753483420014888,0.10156144362423505,0.0036633267929303145,42.67,94.82
3,10.1617931825,5.015542155326087,5.44731059,5.0155858030000005,4.87726704375,5.144561890249999,13,2.200242747,-0.27213182688872645,0.00033014491199506734,0.0018804946952479407,0.9980919054999999,1.0234066350000002,0.8853379090310772,2.5716627162487603e-22,15.17633782566473,31.47235224999997,-1.5139628572114858,0.10012944222704105,-0.9238019771384519,40.80834796,5.74233263,39.2579039525,-1.2098784397293232,8,0.3243867226421089,10,179.32324459999998,1.3177788250000333,13,46,1.2826086956521738,0.6261779023824608,0.6149388689484294,0.9090584091657405,0.09929656105022029,15.306695785320716,0.310843106521739,1,10.117558550443153,13.797219600000005,0.717391304347826,7.721012289473688,0.8468424302678244,0.0439524095552539,0.7755544580953606,0.009710268950367359,0.011578807192183935,0.10012944222704105,0.0038962293599656343,43.15,94.71
4,10.1864171,5.02889313037736,5.420408951,5.032765023,4.909671782,5.165377844,14,2.189514861,-0.11805878820765738,0.0003976149221899683,0.0036780031056379524,0.98588797,1.025189467,0.90736068102053,5.243061676785919e-28,14.744861568747366,29.636030300000016,-1.511225915045508,0.09839623372830295,-0.7818878125141104,41.12567489,6.63071162,39.52786334,-0.950720211080871,9,-0.4922743056267187,9,179.508386,1.3094719000000055,14,53,1.1132075471698113,0.341312295178824,0.7455385323718962,0.9011202534874048,0.10585230931059052,14.99064717383531,0.5778626075471711,1,9.829907712498242,14.335731866666663,0.6981132075471698,9.223780868421054,0.8502438582193264,0.04111003079133625,0.7865735425626427,0.010064076785356904,0.00849541717010257,0.09839623372830295,0.003375750172442988,44.51,94.73
5,10.13821269,5.0294879705862074,5.431269926,5.0128490175,4.9077131055,5.164434578,17,2.201355429,-0.08447229864071067,-0.0013657771477437023,0.048322492676328474,1.007266787,1.0339050057499999,0.9148457148316044,1.2311793234656424e-31,14.560776956023583,28.700167850000014,-1.5509913275205691,0.09743169737364571,-0.7044448611492201,41.31084794,7.033218359999999,39.39458682,-0.92699824114779,13,-0.639249279444245,17,179.34754955,1.3945313250000027,17,58,1.0172413793103448,0.1840015523105529,0.8445934872707912,0.9350143567517049,-0.2776574219337342,14.975440116853541,0.5897594117241374,1,9.707184637349055,13.80987539999999,0.7068965517241379,9.795711631578941,0.847349026492015,0.04549430917707974,0.796722181520033,0.008209389315113419,0.008814272500197525,0.09743169737364571,0.004535338456074291,45.93,92.55
6,10.269062595000001,5.014168094629631,5.45157126,5.0276023895,4.879625014249999,5.12668770925,15,2.200965014,-0.4218707070987568,-0.0005439922884314839,0.008099183567257709,0.9909528075,1.022911142,0.8615381178463739,5.591339361868436e-24,14.834028994466433,28.406299675000014,-1.5735865852170852,0.09816509571226005,-0.7824988932570994,41.57455428,6.5921077100000005,39.590229845,-1.0552181520399817,8,-0.7473924830404552,16,179.123445925,1.369184974999996,14,54,1.0740740740740742,0.2923006299024466,0.7738137526679749,0.9185815013255179,0.004534864880506722,15.025062108228692,0.2833618925925926,2,9.889352662977622,14.264984199999997,0.7407407407407407,9.406721789473686,0.8503037606962299,0.04059180712762366,0.7530014192448424,0.011397744196577976,0.00861335224866521,0.09816509571226005,0.003970352590670972,43.82,95.28
7,10.275207875,4.997079712781819,5.473696342,4.963653292,4.8852578265,5.111298398,15,2.220938713,0.6392238807077317,-0.000984891898412699,0.03248575605981739,0.991998066,1.028689126,0.8949123708724489,1.3553708170732317e-27,14.656735384110457,29.60946575,-1.5727083754281788,0.09729903618481031,-0.7363113641991342,40.76525898,6.200068129999998,39.32585734,-1.2246707918626734,8,-0.42870592978914734,12,179.50288154999998,1.2541046000000051,19,55,1.0545454545454545,0.261891400439462,0.7924612210303862,0.916272437458547,-0.08181119090223819,15.043604839772597,-0.05840574436363481,2,9.771156922740305,14.30836633333333,0.6909090909090909,9.03897144736842,0.8546178305121455,0.041810474802567194,0.7490956608774394,0.010963440625481368,0.007786393671266431,0.09729903618481031,0.003501809356241333,45.09,92.23
8,10.203414195,4.9749451153125,5.392001504,4.943058777999999,4.8371491112500005,5.11661531975,12,2.222011249,-0.008702391199101298,0.0010997563890577493,0.02632011765306972,0.9957590315,1.0491199502500002,0.8920139799213046,7.234019909304362e-24,15.780929572839261,32.88936422500001,-1.657530514820355,0.10479587195180373,-0.9808176600195395,40.8787941,5.781344959999998,39.5362782475,-1.2545551711644127,8,-0.2966404369386413,14,179.42767329999998,1.3097674250000182,13,48,1.2083333333333333,0.659231207865092,0.6026887604691845,0.9294683574543138,0.07168109978891955,15.039416880404898,-0.50109769375,1,10.520619715226175,14.013363866666662,0.7708333333333334,7.6382917368421,0.8551869894076195,0.04198715006920422,0.7721482757616037,0.009460713566959999,0.011352893761419913,0.10479587195180373,0.0037391129586755354,43.47,93.52
9,10.27517015,4.974124807350877,5.391936796,4.967677148,4.818276822,5.106946931,16,2.180225366,-0.05189077874303449,-0.000720951136375421,0.0278197320515833,0.995829463,1.037602319,0.8751782012183975,1.6056219241492548e-26,14.346263115205977,28.80934339999999,-1.5154054871636584,0.09547840242541297,-0.703203184845735,40.92484201,7.178624859999999,39.46072265,-1.0163565677564876,10,-0.7619786082079152,16,179.1244078,1.5485624000000087,14,57,1.0350877192982457,0.22517000380211594,0.8162132576676401,0.8928888333215613,0.1832420676322714,14.923618720541853,-0.5175038529824555,1,9.564175410137318,13.87077099999999,0.6842105263157895,11.194165394736844,0.8389018987854561,0.04923746114767609,0.7647748041832012,0.009039574203874233,0.0072546050562388885,0.09547840242541297,0.0036933031151261376,44.19,95.02
10,10.1599999875,4.983013002821429,5.394844821,4.996687446499999,4.875932134,5.09171615,17,2.265707609,0.08737884268675057,-0.0006719363832877645,0.01460909394621543,1.01265341,1.04467529375,0.8798124224642022,1.6469979087299925e-26,14.74133182157901,29.707174374999994,-1.6012066027921907,0.09758726238201146,-0.7363242313431305,40.59675164,6.678584409999999,39.483254335,-1.079028571435677,10,-0.30261549468803484,14,179.3361618,1.1689500999999893,16,56,1.0535714285714286,0.25968830649246727,0.7938471722298073,0.9023535695835905,0.11133608332408369,15.122566140467429,-0.33973994357142967,2,9.827554547719341,13.629614799999995,0.7321428571428571,10.741665184210522,0.8548199669657961,0.04205627047448587,0.7588706930506969,0.008988906584393361,0.008018083504467128,0.09758726238201146,0.004146726019036245,44.55,95.77
