Batch_ID,Flour_kg_median,Flour_kg_skewness,Flour_kg_trend_pvalue,Sugar_kg_q75,Sugar_kg_iqr,Sugar_kg_kurtosis,Sugar_kg_num_peaks,Yeast_kg_std,Yeast_kg_q75,Yeast_kg_trend_slope,Salt_kg_max,Salt_kg_range,Salt_kg_kurtosis,Water_Temp_C_mean,Water_Temp_C_q25,Water_Temp_C_kurtosis,Water_Temp_C_trend_slope,Mixer_Speed_RPM_mean,Mixer_Speed_RPM_min,Mixer_Speed_RPM_q75,Mixer_Speed_RPM_skewness,Mixing_Temp_C_trend_slope,Mixing_Temp_C_trend_pvalue,Fermentation_Temp_C_std,Fermentation_Temp_C_range,Fermentation_Temp_C_q75,Fermentation_Temp_C_iqr,Fermentation_Temp_C_cv,Fermentation_Temp_C_num_valleys,Oven_Temp_C_num_valleys,avg_time_step,time_consistency,time_regularity,rpm_per_kg_flour,Yeast_kg_deviation_std,Yeast_kg_out_of_tolerance_ratio,Water_Temp_C_mean_deviation,Mixer_Speed_RPM_mean_deviation,Mixer_Speed_RPM_critical_deviation_ratio,Fermentation_Temp_C_deviation_std,Fermentation_Temp_C_max_deviation,Oven_Temp_C_out_of_tolerance_ratio,Yeast_kg_stability,Salt_kg_mean_change_rate,Mixer_Speed_RPM_stability,Mixer_Speed_RPM_mean_change_rate,Fermentation_Temp_C_stability,Fermentation_Temp_C_mean_change_rate,Fermentation_Temp_C_volatility,Oven_Temp_C_change_rate_std,Final_Weight,Quality_Score
1,9.978489761,0.2392944331927634,0.5691245867454916,5.07787132,0.23069698800000005,-0.46603025518750263,15,0.0915524796920026,2.0698802435,-0.0006461238794372294,1.098457861,0.18317065599999993,-0.6675683301039466,26.42500069418182,25.72625676,-1.1609362102861807,0.050057869183261196,150.8507583927273,128.7828034,165.40990375,-0.12002838151798935,0.10606301330014424,5.010742522893967e-30,0.17364734220730088,0.7820649200000034,37.10655138,0.23328124500000058,0.00469501827950521,16,16,1.0727272727272728,0.34793137459362844,0.741877530895427,15.121636670122092,4.57762398460013,0.10909090909090909,-0.28301624837049777,0.5671722618181811,0.09090909090909091,0.4693171411008132,1.2565940000000047,0.01818181818181818,0.9164001657861507,0.05013729878658945,0.3105740423172525,0.011065936194803418,0.8580022167931523,0.005603890299388748,0.00469501827950521,0.004477487421415753,44.41,94.93
2,9.963663028,0.4541816298922565,0.7161546860043885,5.099464124000001,0.27979278200000035,-0.721744384389428,10,0.08111661072409848,2.0502688115,-0.0004947674572850682,1.074045343,0.18864187700000012,-1.0289798230948772,26.516239196470586,25.833195064999998,-0.9475747509015253,0.05112490212579186,151.174593727451,128.8891151,165.7341736,-0.14341078517980582,0.11851529415384615,2.2787181355943142e-29,0.16315872682768914,0.7555865900000001,37.04956824,0.19670279999999707,0.004416788950819272,11,14,1.1372549019607843,0.463033476111609,0.6835113593283999,15.10896214774386,4.055830536204923,0.0784313725490196,0.06127998668146493,0.7830624849673209,0.09803921568627451,0.4409695319667274,1.174365945945952,0.0,0.9280840723968776,0.05766801847244327,0.297430912919996,0.011991573713202905,0.8762905452203184,0.0044518663813175674,0.004416788950819272,0.004838890200368218,43.28,93.2
3,9.8857990575,0.15241707203180643,0.9333388316769755,5.144561890249999,0.26729484649999957,-0.1565237719883008,13,0.10218938230639932,2.0789426447499997,0.00033014491199506734,1.077191915,0.185109011,0.015522611388123053,26.38777565413043,25.68396418,-1.0499305435756343,0.06397256497625654,151.5671863152174,129.3041706,166.2806695,-0.2791019565274879,0.1231148748664817,6.322139728695573e-26,0.16546576480892847,0.8122004000000018,37.093454275,0.2288211499999946,0.004471956629583835,10,13,1.2826086956521738,0.6261779023824608,0.6149388689484294,15.306695785320716,5.109469115319966,0.15217391304347827,-0.42348809762100176,1.0447908768115937,0.10869565217391304,0.4472047697538607,1.2158974054054015,0.06521739130434782,0.9156610114117615,0.04545682382691697,0.27667478192269646,0.013294873777687607,0.8722413312330782,0.0044664704095169405,0.004471956629583835,0.004322828921102128,42.97,91.7
4,9.994797599,0.20404296405237823,0.2692467011498985,5.165377844,0.2557060619999998,-0.3277919293486389,14,0.10125134958457123,2.052332378,0.0003976149221899683,1.064421681,0.16290590400000005,-1.0800464699343066,26.417294266603776,25.56334206,-1.2140965783153777,0.05480691274794389,149.8518897528302,128.4964022,164.6919846,-0.027686791990910745,0.11325673242460894,8.646325317137967e-29,0.15201339499640318,0.6493860200000015,37.08620194,0.17314068000000304,0.004108502614751919,9,14,1.1132075471698113,0.341312295178824,0.7455385323718962,14.99064717383531,5.062567479228562,0.16981132075471697,-0.31209710715557104,-0.09874016477987435,0.09433962264150944,0.4108470135037923,0.9065184864864838,0.03773584905660377,0.9175469683353729,0.05480189786098946,0.29375048766146317,0.011606269812372507,0.8793049812151309,0.003846021163092594,0.004108502614751919,0.003818616777708088,43.09,96.41
5,9.9571904355,0.30958475164450555,0.8093875074321404,5.164434578,0.25672147249999977,-0.6768639624745139,17,0.10491910009300874,2.08252486275,-0.0013657771477437023,1.099717247,0.19434949,0.12727243379417352,26.473682922586203,25.6695154975,-1.076559935604023,0.052801946282260294,149.4459949741379,129.2851869,163.91174415,-0.0008956940117922065,0.10415230722415329,2.204083419568237e-29,0.19333635731821916,0.88090957,37.119454402500004,0.2692687675000016,0.005227240587202201,17,17,1.0172413793103448,0.1840015523105529,0.8445934872707912,14.975440116853541,5.245955004650437,0.1724137931034483,-0.0993097260897854,-0.36933668390804664,0.10344827586206896,0.5225306954546465,1.2125642972972974,0.05172413793103448,0.9070351727146627,0.05088690012718108,0.3128674400849174,0.010797639839165717,0.844949587893075,0.006614068003785724,0.005227240587202201,0.00449286683655585,45.06,93.18
6,10.020005784999999,0.012850892855096593,0.32827850565866745,5.12668770925,0.24706269500000033,-0.07441961490430282,15,0.09509544689443235,2.06752945025,-0.0005439922884314839,1.076995757,0.20166928299999998,-0.11178022048581848,26.510351777037044,25.8014593825,-1.0943481686230103,0.05121094840708978,151.11307014814818,129.7402533,164.91173795,-0.07837139554404814,0.10377833179149994,2.1858779520459152e-32,0.17588469044291408,0.7426217499999979,37.0831435075,0.27233094000000335,0.004762428641017353,16,14,1.0740740740740742,0.2923006299024466,0.7738137526679749,15.025062108228692,4.754772344721617,0.1111111111111111,0.039063309573723975,0.7420467654320988,0.09259259259259259,0.4753640282240921,1.3340906756756734,0.018518518518518517,0.9151488276718863,0.05646724750933085,0.303627879626752,0.011290344942574727,0.8470265462035468,0.006109108775755047,0.004762428641017353,0.004439242394157718,45.15,96.04
7,9.991058865,0.021830447969851823,0.6552045539846763,5.111298398,0.22604057149999957,-0.2017255502700226,15,0.08754408559498969,2.009049421,-0.000984891898412699,1.095114157,0.18947995500000003,-0.8499817344886136,26.324825080545455,25.46203724,-1.1562601769088385,0.059131466059884584,150.63597707454548,128.5374505,165.2046235,-0.044861118579324795,0.11042742085425684,3.375932764124938e-32,0.1756369240842881,0.7250137999999993,37.09165255,0.23423212499999835,0.004752341306538864,12,19,1.0545454545454545,0.261891400439462,0.7924612210303862,15.043604839772597,4.377204279749485,0.10909090909090909,-0.6610374319039457,0.42398471636363516,0.05454545454545454,0.4746943894169949,1.21540354054054,0.0,0.9253498813612447,0.058630165560281125,0.31027217626323106,0.011692014335240405,0.8577760654410969,0.004992254258504976,0.004752341306538864,0.004638869036816357,44.71,94.69
8,9.99607572,0.1888924913106734,0.7127219259442754,5.11661531975,0.2794662084999997,-0.56282608561582,12,0.09490314750565679,2.1081534565,0.0010997563890577493,1.088672367,0.19097398399999999,-0.9238622292953167,26.522056025208332,25.727394789999998,-1.0376275649794502,0.06049910967488058,150.5873206541667,129.0954619,166.331608475,-0.07934346276750436,0.11608981420538433,4.1018062887929565e-28,0.16250878969436175,0.7543842599999948,37.084092985,0.221521580000001,0.004394076410293341,14,13,1.2083333333333333,0.659231207865092,0.6026887604691845,15.039416880404898,4.745157375282838,0.1875,0.0832302838050308,0.3915471027777772,0.16666666666666666,0.43921294511989667,1.0732618918918841,0.020833333333333332,0.9107331133913867,0.06151429326167821,0.28252308372119544,0.012226473826023182,0.8630637392260112,0.0053866582187209085,0.004394076410293341,0.004076738197929174,42.43,93.4
9,10.1102081,-0.04438631715485371,0.6085307282842948,5.106946931,0.2886701090000008,-0.6795889336837901,16,0.0717447556730354,2.04791972,-0.000720951136375421,1.108625279,0.225252546,-0.6052070281643389,26.51113984157895,25.91306168,-0.8021640394257554,0.047923245354550156,150.2566313508772,129.2481714,165.0335609,-0.07247637910058269,0.11522414632940108,1.633905151905148e-33,0.18530602763166337,0.7575024699999986,37.0944258,0.26462149000000323,0.005013359974925869,16,14,1.0350877192982457,0.22517000380211594,0.8162132576676401,14.923618720541853,3.5872377836517706,0.05263157894736842,0.04203713803376393,0.17108756725146143,0.05263157894736842,0.5008271017071982,1.1681957297297252,0.08771929824561403,0.9366214182691155,0.05386526285103314,0.3148268405467652,0.010266703732751773,0.8507783379554829,0.005615141879237717,0.005013359974925869,0.00480534366918713,45.45,94.93
10,10.023128419999999,-0.49737047538002055,0.2289306258093956,5.09171615,0.21578401599999975,-0.05204440612044303,17,0.09066868870714014,2.0696863949999997,-0.0006719363832877645,1.101065807,0.2241032169999999,-0.36133028669450074,26.44572012142857,25.82496335,-0.9913307645129561,0.05097725005331512,151.05795020535714,130.280334,165.541385975,-0.12722331628965758,0.11017172414559122,1.1209360789339799e-30,0.20784379641141307,0.9063403099999974,37.200073957499995,0.2975107224999931,0.005611123986784349,14,16,1.0535714285714286,0.25968830649246727,0.7938471722298073,15.122566140467429,4.533434435357007,0.07142857142857142,-0.20482973045822073,0.7053001369047617,0.017857142857142856,0.5617399903011164,1.3781275405405402,0.05357142857142857,0.9242118760774488,0.05679130433970109,0.32410075516981135,0.010082737901550252,0.8439765560616952,0.005437985168064127,0.005611123986784349,0.005172140074180675,45.9,92.41
