Batch_ID,Flour_kg_mean,Flour_kg_median,Flour_kg_q25,Flour_kg_q75,Yeast_kg_num_peaks,Yeast_kg_num_valleys,Salt_kg_num_peaks,Water_Temp_C_mean,Water_Temp_C_min,Mixer_Speed_RPM_max,Mixer_Speed_RPM_range,Mixer_Speed_RPM_kurtosis,Mixer_Speed_RPM_trend_slope,Mixing_Temp_C_std,Mixing_Temp_C_min,Mixing_Temp_C_max,Mixing_Temp_C_skewness,Mixing_Temp_C_cv,Mixing_Temp_C_num_peaks,Fermentation_Temp_C_q25,Oven_Humidity_pct_std,Oven_Humidity_pct_max,Oven_Humidity_pct_median,Oven_Humidity_pct_range,Oven_Humidity_pct_cv,time_steps,Water_Temp_C_Mixing_Temp_C_diff_std,Water_Temp_C_Fermentation_Temp_C_diff_mean,Mixing_Temp_C_Fermentation_Temp_C_diff_std,Flour_kg_mean_deviation,Sugar_kg_max_consecutive_oot,Salt_kg_max_consecutive_oot,Water_Temp_C_mean_deviation,Mixer_Speed_RPM_max_deviation,Mixer_Speed_RPM_out_of_tolerance_ratio,Mixing_Temp_C_deviation_std,Mixing_Temp_C_max_deviation,Mixing_Temp_C_critical_deviation_ratio,Mixing_Temp_C_max_consecutive_oot,Oven_Humidity_pct_deviation_std,Oven_Humidity_pct_max_deviation,Oven_Humidity_pct_out_of_tolerance_ratio,Oven_Humidity_pct_max_consecutive_oot,Salt_kg_stability,Salt_kg_mean_change_rate,Mixer_Speed_RPM_mean_change_rate,Mixing_Temp_C_volatility,Oven_Humidity_pct_stability,Oven_Humidity_pct_mean_change_rate,Oven_Humidity_pct_volatility,Final_Weight,Quality_Score
1,9.975822173454544,9.978489761,9.788889309,10.135566834999999,16,17,13,26.42500069418182,24.83560125,170.9653772,42.1825738,-1.5705029943901916,-0.7796257053318905,1.7764894890476324,34.83942048,41.0542188,-0.0455886752799876,0.04688434405334978,11,36.873270135,0.9543031273585789,46.70264467,44.8734811,3.565959069999998,0.021225282607072352,55,1.0995011609039769,-10.560444701272731,1.7692193247732662,-0.2417782654545468,2,1,-0.28301624837049777,14.144797733333329,0.7272727272727273,4.674972339599033,8.317314526315785,0.0,7,2.120673616352398,4.140698666666667,0.0,0,0.9589521280292539,0.05013729878658945,0.011065936194803418,0.04688434405334978,0.5016850106852017,0.028300014413916934,0.021225282607072352,44.15,92.56
2,10.005623963392157,9.963663028,9.823654593499999,10.140032825,14,14,14,26.516239196470586,24.76885566,171.1824753,42.293360199999995,-1.6145421442787355,-0.872307895647059,1.8308391188255528,34.68446867,41.08769721,0.07114058952246594,0.048261229367655006,10,36.85286544,1.0316916017278703,47.05645133,44.8823327,3.627871330000005,0.022948597400001592,51,1.1387454050657841,-10.42433655764706,1.828392164718511,0.05623963392156885,1,1,0.06127998668146493,14.121650199999996,0.7647058823529411,4.817997681119877,8.725082447368418,0.0,10,2.292648003839712,4.569891844444448,0.0196078431372549,1,0.9532188739835572,0.05766801847244327,0.011991573713202905,0.048261229367655006,0.49711564429297783,0.028830999194882,0.022948597400001592,44.49,90.27
3,9.902018596369567,9.8857990575,9.619774572250002,10.1617931825,10,11,15,26.38777565413043,24.87810322,170.4929817,41.18881110000001,-1.5139628572114858,-0.9238019771384519,1.721618427165777,35.06601533,40.80834796,0.10874247119855301,0.04550126714537069,8,36.864633125000005,0.9429788732778189,46.61260386,44.854114734999996,4.170884389999998,0.02103941791367532,46,0.9590862070950987,-10.612977822391304,1.684515126843837,-0.9798140363043466,3,1,-0.42348809762100176,13.797219600000005,0.717391304347826,4.530574808330992,7.721012289473688,0.0,9,2.095508607284042,5.685067844444439,0.021739130434782608,1,0.9616155489164151,0.04545682382691697,0.013294873777687607,0.04550126714537069,0.5249701788313612,0.024263588630720964,0.02103941791367532,44.82,94.71
4,9.996358930679246,9.994797599,9.815851894,10.1864171,15,16,14,26.417294266603776,24.746935,170.6812224,42.18482019999999,-1.511225915045508,-0.7818878125141104,1.8298405732554626,34.49496327,41.12567489,-0.14511444924642855,0.0481831643126851,9,36.91306126,0.9339948820907362,47.24089965,45.01525793,4.405036420000002,0.020688952229942,53,1.0884660518606442,-10.582413230377359,1.7744415658485442,-0.036410693207546946,1,1,-0.31209710715557104,14.335731866666663,0.6981132075471698,4.815369929619638,9.223780868421054,0.0,5,2.075544182423858,4.979777000000007,0.03773584905660377,1,0.9595982378701998,0.05480189786098946,0.011606269812372507,0.0481831643126851,0.5336267138949686,0.02448003812987584,0.020688952229942,44.39,95.1
5,9.97940586774138,9.9571904355,9.78460507325,10.13821269,18,18,19,26.473682922586203,24.69971119,170.292194,41.00700709999998,-1.5509913275205691,-0.7044448611492201,1.8564775128450148,34.27762958,41.31084794,-0.2153900033902041,0.04874507278212934,13,36.850185635,1.0435570837456052,46.79701034,45.11826703,4.127295670000002,0.023192393088353958,58,1.0298329448199293,-10.512630236896552,1.856267580029576,-0.2059413225862067,2,1,-0.0993097260897854,13.80987539999999,0.7068965517241379,4.885467139065828,9.795711631578941,0.0,8,2.3190157416569006,5.17841184444445,0.05172413793103448,1,0.9599136025336036,0.05088690012718108,0.010797639839165717,0.04874507278212934,0.48512572309610547,0.02960637747712752,0.023192393088353958,43.89,98.08
6,10.057400698888888,10.020005784999999,9.85244505425,10.269062595000001,15,14,17,26.510351777037044,25.19841176,171.3974763,41.65722299999999,-1.5735865852170852,-0.7824988932570994,1.6892248637063232,34.98244657,41.57455428,0.14532274592433234,0.04450020907499904,8,36.810812567499994,1.0627772303165364,47.0604227,45.122541455000004,4.398149839999995,0.023624144435553086,54,0.9467188576551153,-10.421370186851853,1.6796957054943373,0.5740069888888883,1,2,0.039063309573723975,14.264984199999997,0.7407407407407407,4.445328588700852,9.406721789473686,0.0,3,2.361727178481192,5.194949199999996,0.05555555555555555,1,0.9578827134938664,0.05646724750933085,0.011290344942574727,0.04450020907499904,0.4911273942619814,0.029766707360056644,0.023624144435553086,46.24,91.84
7,10.013289944727273,9.991058865,9.7855780065,10.275207875,16,16,14,26.324825080545455,24.42534319,171.051319,42.5138685,-1.5727083754281788,-0.7363113641991342,1.8349938346157577,34.56519085,40.76525898,0.013830492849398517,0.04867124426479942,8,36.857420425,1.0385208872258325,46.90200037,45.27403884,4.551436850000002,0.023020290892818707,55,0.9921401455823082,-10.633152630909093,1.8248853634314512,0.1328994472727261,1,2,-0.6610374319039457,14.30836633333333,0.6909090909090909,4.828931143725677,9.03897144736842,0.0,11,2.307824193835183,5.887636622222219,0.05454545454545454,1,0.9532689041718024,0.058630165560281125,0.011692014335240405,0.04867124426479942,0.5113757807131107,0.027454532317474863,0.023020290892818707,44.7,92.3
8,10.012843041166667,9.99607572,9.82040094875,10.203414195,12,13,15,26.522056025208332,24.76910242,171.0200458,41.92458389999999,-1.657530514820355,-0.9808176600195395,1.685902479296904,35.09744914,40.8787941,0.017560306434142005,0.04442565001773281,8,36.862571405,1.0413586517043696,47.05019939,44.946039604999996,4.33521949,0.02319044048864552,48,0.9047402372991605,-10.461549747708332,1.6998681768800934,0.12843041166666716,1,1,0.0832302838050308,14.013363866666662,0.7708333333333334,4.436585471833958,7.6382917368421,0.0,4,2.314130337120821,5.077822444444438,0.08333333333333333,1,0.9548173006223587,0.06151429326167821,0.012226473826023182,0.04442565001773281,0.4996886743920486,0.02942323149708155,0.02319044048864552,45.27,93.3
9,10.06837779526316,10.1102081,9.789801669,10.27517015,15,16,15,26.51113984157895,24.90539623,170.8061565,41.557985099999996,-1.5154054871636584,-0.703203184845735,1.9827356716644826,33.74621715,40.92484201,-0.21935457305582495,0.05245655961933219,10,36.82980431,0.9053055694178694,47.05738519,45.24044751,4.416063999999999,0.020062559878819115,57,1.2707419622708473,-10.451302224912281,1.9586016999763636,0.6837779526315796,3,1,0.04203713803376393,13.87077099999999,0.6842105263157895,5.217725451748638,11.194165394736844,0.03508771929824561,11,2.011790154261932,5.2415084666666685,0.03508771929824561,1,0.9521769422960707,0.05386526285103314,0.010266703732751773,0.05245655961933219,0.532429390496897,0.021005994874055727,0.020062559878819115,43.09,93.69
10,9.988909871660713,10.023128419999999,9.8184880435,10.1599999875,16,17,15,26.44572012142857,24.71762243,170.4444222,40.16408819999998,-1.6012066027921907,-0.7363242313431305,1.8777359144356025,33.91816723,40.59675164,-0.1075517396877342,0.049651304910969925,10,36.902563235,0.907579811654868,47.13122748,45.08574579,3.8890148999999994,0.020172598308366232,56,1.133343829956404,-10.595663548035715,1.8374182804977173,-0.1109012833928572,2,2,-0.20482973045822073,13.629614799999995,0.7321428571428571,4.9414103011463215,10.741665184210522,0.017857142857142856,10,2.0168440258997067,4.736061066666666,0.017857142857142856,1,0.9530794855524957,0.05679130433970109,0.010082737901550252,0.049651304910969925,0.5497067439913569,0.021563622386578957,0.020172598308366232,43.95,96.23
11,9.97860111554717,9.947453064,9.77472989,10.15873119,17,17,16,26.415525921320754,24.62697071,170.8677494,41.748034399999995,-1.5761231269647809,-0.7824726501209484,1.7247775907716496,34.55486714,40.85130508,0.052175263893789785,0.04574193200892346,7,36.89623396,1.0155930468731864,47.20967997,44.70448371,4.228142400000003,0.02263294081569458,53,0.962064495861189,-10.603990072075472,1.7085499723858488,-0.21398884452830255,2,2,-0.31877010822356705,13.920189999999991,0.7358490566037735,4.538888396767499,9.06613910526316,0.0,7,2.25687343749597,4.910399933333341,0.03773584905660377,1,0.9542857281039473,0.06296478904774568,0.01171197809694242,0.04574193200892346,0.5040985815161881,0.02977522946026343,0.02263294081569458,44.49,92.3
