Batch_ID,Flour_kg_median,Flour_kg_skewness,Flour_kg_num_peaks,Sugar_kg_trend_r2,Sugar_kg_num_peaks,Sugar_kg_num_valleys,Yeast_kg_kurtosis,Salt_kg_std,Salt_kg_trend_slope,Water_Temp_C_trend_slope,Mixer_Speed_RPM_min,Mixer_Speed_RPM_trend_slope,Mixer_Speed_RPM_num_peaks,Mixing_Temp_C_std,Mixing_Temp_C_min,Mixing_Temp_C_range,Mixing_Temp_C_cv,Fermentation_Temp_C_std,Fermentation_Temp_C_q75,Fermentation_Temp_C_iqr,Fermentation_Temp_C_cv,time_steps,avg_time_step,time_consistency,time_regularity,Water_Temp_C_Mixing_Temp_C_diff_std,Mixing_Temp_C_Fermentation_Temp_C_diff_std,Yeast_kg_out_of_tolerance_ratio,Salt_kg_deviation_std,Mixer_Speed_RPM_critical_deviation_ratio,Mixer_Speed_RPM_max_consecutive_oot,Mixing_Temp_C_deviation_std,Mixing_Temp_C_max_deviation,Mixing_Temp_C_out_of_tolerance_ratio,Mixing_Temp_C_critical_deviation_ratio,Mixing_Temp_C_max_consecutive_oot,Fermentation_Temp_C_deviation_std,Fermentation_Temp_C_max_deviation,Fermentation_Temp_C_out_of_tolerance_ratio,Fermentation_Temp_C_max_consecutive_oot,Yeast_kg_mean_change_rate,Salt_kg_volatility,Mixer_Speed_RPM_stability,Mixer_Speed_RPM_mean_change_rate,Mixing_Temp_C_stability,Mixing_Temp_C_volatility,Fermentation_Temp_C_stability,Fermentation_Temp_C_volatility,Oven_Temp_C_stability,Oven_Temp_C_change_rate_std,Final_Weight,Quality_Score
1,9.978489761,0.2392944331927634,16,0.01067302862319662,15,15,-0.6132444693556138,0.04624417677132288,-0.00031805194033189,0.050057869183261196,128.7828034,-0.7796257053318905,4,1.7764894890476324,34.83942048,6.21479832,0.04688434405334978,0.17364734220730088,37.10655138,0.23328124500000058,0.00469501827950521,55,1.0727272727272728,0.34793137459362844,0.741877530895427,1.0995011609039769,1.7692193247732662,0.10909090909090909,4.624417677132288,0.09090909090909091,21,4.674972339599033,8.317314526315785,0.38181818181818183,0.0,7,0.4693171411008132,1.2565940000000047,0.0,0,0.05652541044778011,0.04551918488762831,0.3105740423172525,0.011065936194803418,0.6575384681598146,0.04688434405334978,0.8580022167931523,0.00469501827950521,0.5362695097343783,0.004477487421415753,44.22,91.53
2,9.963663028,0.4541816298922565,14,0.03200359488951648,10,12,-0.3585907782630069,0.05084874796985454,0.0005420083879638009,0.05112490212579186,128.8891151,-0.872307895647059,5,1.8308391188255528,34.68446867,6.403228540000001,0.048261229367655006,0.16315872682768914,37.04956824,0.19670279999999707,0.004416788950819272,51,1.1372549019607843,0.463033476111609,0.6835113593283999,1.1387454050657841,1.828392164718511,0.0784313725490196,5.084874796985454,0.09803921568627451,21,4.817997681119877,8.725082447368418,0.4117647058823529,0.0,10,0.4409695319667274,1.174365945945952,0.0,0,0.047077277765435174,0.05129602222246823,0.297430912919996,0.011991573713202905,0.6695054192612422,0.048261229367655006,0.8762905452203184,0.004416788950819272,0.530988645301115,0.004838890200368218,45.8,92.61
3,9.8857990575,0.15241707203180643,15,0.027450477521249184,13,12,-0.4560204563066259,0.040782100516791826,0.0003039444123342579,0.06397256497625654,129.3041706,-0.9238019771384519,5,1.721618427165777,35.06601533,5.74233263,0.04550126714537069,0.16546576480892847,37.093454275,0.2288211499999946,0.004471956629583835,46,1.2826086956521738,0.6261779023824608,0.6149388689484294,0.9590862070950987,1.684515126843837,0.15217391304347827,4.078210051679183,0.10869565217391304,19,4.530574808330992,7.721012289473688,0.34782608695652173,0.0,9,0.4472047697538607,1.2158974054054015,0.0,0,0.053604419296536546,0.04105823725408469,0.27667478192269646,0.013294873777687607,0.6642410809188523,0.04550126714537069,0.8722413312330782,0.004471956629583835,0.5155751780883394,0.004322828921102128,44.14,95.83
4,9.994797599,0.20404296405237823,15,0.0036989576801333326,14,14,-0.6173474839439881,0.042721034539374904,5.919428616352183e-05,0.05480691274794389,128.4964022,-0.7818878125141104,3,1.8298405732554626,34.49496327,6.63071162,0.0481831643126851,0.15201339499640318,37.08620194,0.17314068000000304,0.004108502614751919,53,1.1132075471698113,0.341312295178824,0.7455385323718962,1.0884660518606442,1.7744415658485442,0.16981132075471697,4.27210345393749,0.09433962264150944,19,4.815369929619638,9.223780868421054,0.3018867924528302,0.0,5,0.4108470135037923,0.9065184864864838,0.0,0,0.056477221969916225,0.04324684693047229,0.29375048766146317,0.011606269812372507,0.6508885258508725,0.0481831643126851,0.8793049812151309,0.004108502614751919,0.5310028163263838,0.003818616777708088,43.54,91.28
5,9.9571904355,0.30958475164450555,13,0.008656787571154135,17,17,-0.6214295252141384,0.04288311951155929,8.438807560982301e-06,0.052801946282260294,129.2851869,-0.7044448611492201,6,1.8564775128450148,34.27762958,7.033218359999999,0.04874507278212934,0.19333635731821916,37.119454402500004,0.2692687675000016,0.005227240587202201,58,1.0172413793103448,0.1840015523105529,0.8445934872707912,1.0298329448199293,1.856267580029576,0.1724137931034483,4.288311951155929,0.10344827586206896,22,4.885467139065828,9.795711631578941,0.3620689655172414,0.0,8,0.5225306954546465,1.2125642972972974,0.0,0,0.0649236212803677,0.04267394103412913,0.3128674400849174,0.010797639839165717,0.6417115161186314,0.04874507278212934,0.844949587893075,0.005227240587202201,0.5100870528974262,0.00449286683655585,44.91,95.03
6,10.020005784999999,0.012850892855096593,13,0.001652827384336912,15,11,0.12130043336461238,0.04730341415316101,0.0003204159844482565,0.05121094840708978,129.7402533,-0.7824988932570994,5,1.6892248637063232,34.98244657,6.5921077100000005,0.04450020907499904,0.17588469044291408,37.0831435075,0.27233094000000335,0.004762428641017353,54,1.0740740740740742,0.2923006299024466,0.7738137526679749,0.9467188576551153,1.6796957054943373,0.1111111111111111,4.7303414153161,0.09259259259259259,21,4.445328588700852,9.406721789473686,0.2777777777777778,0.0,3,0.4753640282240921,1.3340906756756734,0.0,0,0.05333588144798984,0.047907137592689795,0.303627879626752,0.011290344942574727,0.6903057457460134,0.04450020907499904,0.8470265462035468,0.004762428641017353,0.5401397963496165,0.004439242394157718,44.37,97.02
7,9.991058865,0.021830447969851823,13,0.008121627663430808,15,15,0.40327075546333635,0.05060584866829226,0.000440919264357864,0.059131466059884584,128.5374505,-0.7363113641991342,7,1.8349938346157577,34.56519085,6.200068129999998,0.04867124426479942,0.1756369240842881,37.09165255,0.23423212499999835,0.004752341306538864,55,1.0545454545454545,0.261891400439462,0.7924612210303862,0.9921401455823082,1.8248853634314512,0.10909090909090909,5.060584866829225,0.05454545454545454,19,4.828931143725677,9.03897144736842,0.38181818181818183,0.0,11,0.4746943894169949,1.21540354054054,0.0,0,0.0478238962673013,0.05084817724014494,0.31027217626323106,0.011692014335240405,0.6672450966847598,0.04867124426479942,0.8577760654410969,0.004752341306538864,0.5354949536845903,0.004638869036816357,44.6,95.63
8,9.99607572,0.1888924913106734,16,0.0002344667625992404,12,16,-0.6874222317317713,0.051247098569220516,-0.00018405093991532727,0.06049910967488058,129.0954619,-0.9808176600195395,5,1.685902479296904,35.09744914,5.781344959999998,0.04442565001773281,0.16250878969436175,37.084092985,0.221521580000001,0.004394076410293341,48,1.2083333333333333,0.659231207865092,0.6026887604691845,0.9047402372991605,1.6998681768800934,0.1875,5.124709856922052,0.16666666666666666,20,4.436585471833958,7.6382917368421,0.2708333333333333,0.0,4,0.43921294511989667,1.0732618918918841,0.0,0,0.05432513313992412,0.051296003596626165,0.28252308372119544,0.012226473826023182,0.6808594095981421,0.04442565001773281,0.8630637392260112,0.004394076410293341,0.5212454075352823,0.004076738197929174,43.31,91.17
9,10.1102081,-0.04438631715485371,16,8.839913701207515e-05,16,18,0.19290546528251085,0.05307334651583593,9.632314862587451e-05,0.047923245354550156,129.2481714,-0.703203184845735,5,1.9827356716644826,33.74621715,7.178624859999999,0.05245655961933219,0.18530602763166337,37.0944258,0.26462149000000323,0.005013359974925869,57,1.0350877192982457,0.22517000380211594,0.8162132576676401,1.2707419622708473,1.9586016999763636,0.05263157894736842,5.307334651583592,0.05263157894736842,20,5.217725451748638,11.194165394736844,0.3508771929824561,0.03508771929824561,11,0.5008271017071982,1.1681957297297252,0.0,0,0.03924275459803921,0.05328484374823118,0.3148268405467652,0.010266703732751773,0.6608781305850074,0.05245655961933219,0.8507783379554829,0.005013359974925869,0.4943431764228401,0.00480534366918713,46.02,92.48
10,10.023128419999999,-0.49737047538002055,21,0.0017768952857259647,17,17,0.2609953788053092,0.05183332498918373,0.0003143860907382092,0.05097725005331512,130.280334,-0.7363242313431305,6,1.8777359144356025,33.91816723,6.678584409999999,0.049651304910969925,0.20784379641141307,37.200073957499995,0.2975107224999931,0.005611123986784349,56,1.0535714285714286,0.25968830649246727,0.7938471722298073,1.133343829956404,1.8374182804977173,0.07142857142857142,5.183332498918372,0.017857142857142856,21,4.9414103011463215,10.741665184210522,0.375,0.017857142857142856,10,0.5617399903011164,1.3781275405405402,0.03571428571428571,1,0.045309928043741225,0.05150679214432439,0.32410075516981135,0.010082737901550252,0.6447169513587051,0.049651304910969925,0.8439765560616952,0.005611123986784349,0.5035732301203796,0.005172140074180675,47.77,91.83
