Batch_ID,Flour_kg_mean,Flour_kg_median,Flour_kg_q25,Flour_kg_q75,Flour_kg_trend_slope,Flour_kg_trend_r2,Flour_kg_num_peaks,Flour_kg_num_valleys,Sugar_kg_min,Sugar_kg_max,Sugar_kg_skewness,Sugar_kg_cv,Yeast_kg_iqr,Yeast_kg_skewness,Yeast_kg_kurtosis,Water_Temp_C_median,Mixer_Speed_RPM_iqr,Mixer_Speed_RPM_trend_slope,Mixer_Speed_RPM_trend_r2,Mixer_Speed_RPM_num_peaks,Mixing_Temp_C_mean,Mixing_Temp_C_median,Mixing_Temp_C_q25,Fermentation_Temp_C_std,Fermentation_Temp_C_range,Fermentation_Temp_C_q75,Fermentation_Temp_C_iqr,Fermentation_Temp_C_cv,Oven_Temp_C_num_peaks,Oven_Temp_C_num_valleys,Oven_Humidity_pct_median,avg_time_step,Mixing_Temp_C_Fermentation_Temp_C_diff_mean,Flour_kg_mean_deviation,Flour_kg_out_of_tolerance_ratio,Sugar_kg_deviation_std,Sugar_kg_out_of_tolerance_ratio,Mixer_Speed_RPM_critical_deviation_ratio,Mixing_Temp_C_mean_deviation,Mixing_Temp_C_max_consecutive_oot,Fermentation_Temp_C_deviation_std,Fermentation_Temp_C_max_deviation,Flour_kg_stability,Flour_kg_mean_change_rate,Sugar_kg_stability,Sugar_kg_volatility,Mixer_Speed_RPM_change_rate_std,Fermentation_Temp_C_stability,Fermentation_Temp_C_mean_change_rate,Fermentation_Temp_C_volatility,Final_Weight,Quality_Score
1,10.036034390243904,10.10167,9.853286,10.206932,-0.007849389372822292,0.15003278395107508,12,10,4.534274,5.378456,-0.1493056523334579,0.03770966305498805,0.09878900000000002,-0.37342014391660566,-0.6875129715570583,26.4295,28.698859999999996,-1.0308665796167247,0.7271341023370632,2,38.076469195121945,38.169922,36.998729,0.16433993327232504,0.7157259999999965,37.086311,0.20254400000000317,0.004442543814571267,10,11,45.137594,1.3902439024390243,1.0841647560975607,0.36034390243902503,0.024390243902439025,3.7735044049568547,0.04878048780487805,0.024390243902439025,0.20123472400513404,4,0.4441619818170947,1.1819945945945862,0.8160168295327612,0.025618787325244363,0.8455499049599673,0.03770966305498805,0.009107474808953972,0.858838335830245,0.0056377069521805516,0.004442543814571267,46.68,92.63
2,9.996411160000001,9.9723225,9.86504025,10.144056749999999,-0.0050071067466986785,0.11100936491166681,12,12,4.574307,5.447244,-0.17181706163627947,0.037209990827146905,0.14392625000000003,0.27721138477985025,-0.6037332603663752,26.634208,28.482911,-0.8547399962064828,0.718363928064011,6,38.1257775,38.502689000000004,36.476358749999996,0.15861374936938094,0.6717580000000041,37.12965125,0.24839575000000025,0.004288605841671081,15,13,45.0790455,1.18,1.1408562399999993,-0.03588839999999997,0.0,3.7410872088266487,0.14,0.14,0.3309934210526307,4,0.428685809106435,1.2214513513513539,0.8343690557776764,0.021403349304036364,0.8563157127087668,0.037209990827146905,0.008670672579317296,0.8690131961500304,0.004684945125735692,0.004288605841671081,44.11,92.84
3,10.058462274509804,10.06855,9.8504885,10.2570515,-0.005014456561085976,0.07601962895270915,12,13,4.541918,5.415334,-0.065439247871779,0.038507541512731995,0.09052349999999976,-0.3059156177657597,0.7072848145465809,26.601747,30.966909499999986,-0.8741856228959275,0.7417535703045464,6,37.6257974117647,37.395354,36.5420205,0.17069109721113102,0.7693060000000003,37.109895,0.23921450000000277,0.004614877588604899,15,13,45.002116,1.1176470588235294,0.6386630980392154,0.5846227450980394,0.0392156862745098,3.850313911917231,0.13725490196078433,0.13725490196078433,-0.9847436532507747,10,0.4613272897598135,1.0592702702702759,0.8102882065534177,0.029434107317439076,0.8438774269514305,0.038507541512731995,0.007714274528476432,0.8590850982439793,0.00558581447447297,0.004614877588604899,45.9,90.43
4,10.054326391304349,10.055308499999999,9.894052250000001,10.2289405,0.004596685414739437,0.05539259246112207,13,14,4.748405,5.395262,0.38838491867038943,0.03286731979526815,0.11602649999999981,0.04020259331655949,-0.45439343635086304,26.6931915,30.05705974999998,-0.9815276375578168,0.7776984084874606,3,37.95428297826087,37.966342,36.69569725,0.18808049220035397,0.7993060000000014,37.033258000000004,0.22714500000000726,0.005092189260167058,15,13,45.419046,1.2391304347826086,1.0191883478260868,0.5432639130434792,0.043478260869565216,3.292659414880083,0.043478260869565216,0.06521739130434782,-0.12030795194507969,4,0.5083256545955513,1.0809162162162254,0.7893635786778721,0.03197607156244911,0.8676980184326178,0.03286731979526815,0.0121593797684853,0.8480816428341587,0.006058375663987217,0.005092189260167058,43.79,91.8
5,9.976043595744683,10.0023,9.774352499999999,10.175225000000001,-0.0005422421369102626,0.0008082375799416895,15,12,4.693865,5.353504,-0.06856170409048166,0.03327149748772246,0.1255864999999996,0.3872365260308497,-0.5009278295167148,26.560875,28.903784499999972,-0.9711379688945421,0.7947403470487776,3,37.97516304255319,37.712531,36.867639499999996,0.14275440673837883,0.5916360000000012,37.1052915,0.23527399999999687,0.0038595876372171803,12,13,44.806417,1.1702127659574468,0.9882048085106382,-0.239564042553192,0.02127659574468085,3.3413193008576445,0.06382978723404255,0.1276595744680851,-0.06536041433370673,7,0.3858227209145374,1.002689189189191,0.8007698923844181,0.028620398674762425,0.8661172326357741,0.03327149748772246,0.008097420278613645,0.8744197914119337,0.0048717879027562905,0.0038595876372171803,45.25,94.67
6,9.955509954545455,9.951545,9.82284125,10.095628249999999,0.003218146863988722,0.03628113588929115,11,13,4.637096,5.363237,-0.09541265533491805,0.03152468799761711,0.10425200000000001,-0.04442445256445663,-0.035038260323833725,26.475988,31.59655175000003,-1.0488578666666666,0.7658743085610221,5,38.15765381818182,37.970181499999995,36.663151750000004,0.16171352202239556,0.8151579999999967,37.09077875,0.18706699999999898,0.004369920287415035,11,11,44.975652999999994,1.25,1.1515961818181812,-0.4449004545454552,0.0,3.156257264812421,0.06818181818181818,0.09090909090909091,0.4148784688995208,5,0.4370635730335015,1.2260486486486433,0.8224369322065314,0.02457784237291697,0.8873730096737507,0.03152468799761711,0.009709740645717509,0.8684997344181119,0.005097179281315597,0.004369920287415035,44.5,95.95
7,10.036995862745098,10.00765,9.85746,10.170013,0.004476845248868778,0.08499329397821954,12,13,4.667457,5.367047,0.6202218087252731,0.033243419980094724,0.13824800000000015,0.03607960469234006,-0.4918998050120642,26.230831,29.503316000000012,-0.8007950447058825,0.649305093834253,4,37.98097458823529,37.670116,36.999891500000004,0.15543285561733985,0.684547000000002,37.049343,0.21631799999999402,0.004207252561693904,12,16,45.115918,1.1372549019607843,1.0369467843137254,0.36995862745098007,0.0392156862745098,3.302636000257763,0.058823529411764705,0.13725490196078433,-0.050066873065014596,7,0.4200887989657833,0.9413594594594631,0.8299864291740702,0.02327801248480588,0.8743399601896283,0.033243419980094724,0.010511533891764723,0.8732355246800446,0.004545629767778612,0.004207252561693904,44.99,94.65
8,9.960566916666666,10.034783000000001,9.741211999999999,10.155742,0.006958428137212343,0.12968884213868528,16,11,4.675833,5.429747,0.34093026944312965,0.029823439816083812,0.07998050000000001,0.647311072227498,0.9623242007467976,26.430661999999998,27.35231299999998,-0.8327345735453756,0.6446681816811629,3,37.97482333333334,37.785494,36.561505499999996,0.19844744124514305,0.8737059999999985,37.12071525,0.24464325000000287,0.005366424572855674,16,15,44.79642,1.1875,0.9953710833333336,-0.39433083333333246,0.041666666666666664,2.965908669145168,0.08333333333333333,0.14583333333333334,-0.06625438596491162,5,0.536344435797684,1.3747945945945923,0.8122748880880833,0.026723200623488198,0.8785407181561368,0.029823439816083812,0.007815027795354701,0.8509145870194311,0.005789038155423502,0.005366424572855674,45.94,93.74
9,9.946098408163266,9.953892,9.795408,10.090747,-0.0011221752040816314,0.004103311436573435,13,14,4.501481,5.402178,-0.14443742548288843,0.04135299797751726,0.1242350000000001,0.07043714117283426,-0.41950433987631097,26.515308,26.083202,-0.8079168469387756,0.6701916329953619,5,37.74088932653061,37.757255,36.030093,0.17659097806471818,0.6936140000000037,37.116649,0.26620900000000347,0.004774740983083463,12,12,45.310471,1.183673469387755,0.7564793469387748,-0.5390159183673459,0.04081632653061224,4.156155650600284,0.1836734693877551,0.10204081632653061,-0.6818701933404949,7,0.47727291368842756,1.087437837837839,0.8014023662521536,0.026057713179959748,0.8424019238312435,0.04135299797751726,0.008280226340876343,0.853046972375248,0.005201348146832797,0.004774740983083463,44.95,94.56
10,9.993342367346939,10.026782,9.808487,10.157581,6.363173469387712e-05,1.0983936820193126e-05,11,10,4.59506,5.344287,0.024344931259094888,0.03854568724365965,0.13510899999999992,0.3003800738939355,-0.5338311245859968,26.554372,29.854870000000005,-0.857586126020408,0.6915847838577084,4,37.7697326122449,37.709283,36.146924,0.16659457694170401,0.6568510000000032,37.116146,0.20653399999999777,0.004502913214825872,14,13,44.774744,1.163265306122449,0.7726667142857135,-0.06657632653061257,0.10204081632653061,3.818883363109788,0.16326530612244897,0.08163265306122448,-0.605966809881849,11,0.45025561335595676,0.9780891891891945,0.806352154008332,0.02823103747651366,0.8496814361837464,0.03854568724365965,0.00885950415065786,0.8674941947434088,0.004919642101622952,0.004502913214825872,45.06,90.28
