Batch_ID,Flour_kg_mean,Flour_kg_q25,Sugar_kg_mean,Sugar_kg_q75,Yeast_kg_std,Yeast_kg_min,Yeast_kg_q75,Yeast_kg_iqr,Yeast_kg_skewness,Yeast_kg_kurtosis,Yeast_kg_cv,Salt_kg_std,Salt_kg_cv,Salt_kg_num_peaks,Water_Temp_C_min,Water_Temp_C_range,Water_Temp_C_num_peaks,Mixer_Speed_RPM_q25,Mixer_Speed_RPM_cv,Mixer_Speed_RPM_trend_pvalue,Mixer_Speed_RPM_num_peaks,Mixing_Temp_C_num_valleys,Fermentation_Temp_C_iqr,Fermentation_Temp_C_trend_r2,Oven_Humidity_pct_trend_r2,Oven_Humidity_pct_trend_pvalue,Water_Temp_C_Mixing_Temp_C_diff_mean,Mixing_Temp_C_Fermentation_Temp_C_correlation,Mixing_Temp_C_Oven_Temp_C_diff_mean,Flour_kg_mean_deviation,Sugar_kg_mean_deviation,Sugar_kg_out_of_tolerance_ratio,Sugar_kg_max_consecutive_oot,Yeast_kg_deviation_std,Salt_kg_deviation_std,Salt_kg_out_of_tolerance_ratio,Salt_kg_max_consecutive_oot,Water_Temp_C_max_deviation,Water_Temp_C_out_of_tolerance_ratio,Mixer_Speed_RPM_max_consecutive_oot,Oven_Temp_C_max_consecutive_oot,Yeast_kg_stability,Yeast_kg_mean_change_rate,Yeast_kg_change_rate_std,Yeast_kg_volatility,Salt_kg_volatility,Mixer_Speed_RPM_volatility,Fermentation_Temp_C_stability,Oven_Temp_C_mean_change_rate,Oven_Temp_C_change_rate_std,Final_Weight,Quality_Score
1,9.975822173454544,9.788889309,4.968058721418181,5.07787132,0.0915524796920026,1.812602992,2.0698802435,0.12259325050000003,-0.23681454066678842,-0.6132444693556138,0.045676043983989466,0.04624417677132288,0.04551918488762831,13,24.83560125,3.2033983100000007,11,135.30250215,0.09819322026104779,6.630200138260686e-16,4,9,0.23328124500000058,0.00024212843546776646,1.316457863140215e-07,0.9979023522799046,-11.46588857636364,-0.0032971305959584537,-142.30493192945457,-0.2417782654545468,-0.6388255716363648,0.10909090909090909,2,4.57762398460013,4.624417677132288,0.10909090909090909,1,6.28075,0.05454545454545454,21,1,0.9164001657861507,0.05652541044778011,0.03872637667749807,0.045676043983989466,0.04551918488762831,0.09819322026104779,0.8580022167931523,0.005829259857344344,0.004477487421415753,44.9,93.23
2,10.005623963392157,9.823654593499999,4.953046524960785,5.099464124000001,0.08111661072409848,1.78954172,2.0502688115,0.11257026900000011,-0.6284137217146356,-0.3585907782630069,0.0407415105344181,0.05084874796985454,0.05129602222246823,14,24.76885566,3.2953047600000005,12,134.9598436,0.10156144362423505,6.74351188336767e-15,5,9,0.19670279999999707,0.003192768756853871,0.010532772903154138,0.4735928675869324,-11.419784042352939,-0.052366583153634315,-142.00758325529412,0.05623963392156885,-0.9390695007843138,0.058823529411764705,1,4.055830536204923,5.084874796985454,0.0784313725490196,1,6.532620150943397,0.0392156862745098,21,0,0.9280840723968776,0.047077277765435174,0.03822815209843711,0.0407415105344181,0.05129602222246823,0.10156144362423505,0.8762905452203184,0.00574314698468554,0.004838890200368218,44.32,93.47
3,9.902018596369567,9.619774572250002,5.015542155326087,5.144561890249999,0.10218938230639932,1.760534774,2.0789426447499997,0.14474137274999954,-0.27213182688872645,-0.4560204563066259,0.05108317165812194,0.040782100516791826,0.04105823725408469,15,24.87810322,3.2058698800000016,11,134.80831725000002,0.10012944222704105,4.3476279931525995e-12,5,8,0.2288211499999946,0.03136699396037042,0.04938107698493213,0.1377263856952618,-11.448938248043476,0.1591962652045336,-142.03947502173912,-0.9798140363043466,0.310843106521739,0.13043478260869565,3,5.109469115319966,4.078210051679183,0.043478260869565216,1,6.12036520754717,0.06521739130434782,19,2,0.9156610114117615,0.053604419296536546,0.041941509773976975,0.05108317165812194,0.04105823725408469,0.10012944222704105,0.8722413312330782,0.005934196340874261,0.004322828921102128,43.36,96.08
4,9.996358930679246,9.815851894,5.02889313037736,5.165377844,0.10125134958457123,1.77747041,2.052332378,0.14490117999999996,-0.11805878820765738,-0.6173474839439881,0.05106634765725271,0.042721034539374904,0.04324684693047229,14,24.746935,3.1054717200000006,12,135.0559543,0.09839623372830295,6.747039633269845e-14,3,10,0.17314068000000304,0.10563597013066829,0.07889265290155974,0.04162201684160521,-11.55946793566038,0.2916140686990473,-142.11430912603774,-0.036410693207546946,0.5778626075471711,0.11320754716981132,1,5.062567479228562,4.27210345393749,0.018867924528301886,1,6.615339622641507,0.05660377358490566,19,1,0.9175469683353729,0.056477221969916225,0.043828595916435086,0.05106634765725271,0.04324684693047229,0.09839623372830295,0.8793049812151309,0.0058621575267383715,0.003818616777708088,43.02,95.66
5,9.97940586774138,9.78460507325,5.0294879705862074,5.164434578,0.10491910009300874,1.760892143,2.08252486275,0.14484336075000015,-0.08447229864071067,-0.6214295252141384,0.052411762671247926,0.04288311951155929,0.04267394103412913,19,24.69971119,3.345817320000002,11,135.2115763,0.09743169737364571,5.269341199603401e-15,6,9,0.2692687675000016,0.0001328160293053182,0.02332100539048538,0.2524447531704589,-11.611756423103449,-0.03105529358181802,-142.00121318189656,-0.2059413225862067,0.5897594117241374,0.10344827586206896,2,5.245955004650437,4.288311951155929,0.10344827586206896,1,6.793542679245289,0.06896551724137931,22,1,0.9070351727146627,0.0649236212803677,0.04284084408283946,0.052411762671247926,0.04267394103412913,0.09743169737364571,0.844949587893075,0.006251081426710183,0.00449286683655585,42.65,98.04
6,10.057400698888888,9.85244505425,5.014168094629631,5.12668770925,0.09509544689443235,1.749724962,2.06752945025,0.12292785699999986,-0.4218707070987568,0.12130043336461238,0.04734399613368322,0.04730341415316101,0.047907137592689795,17,25.19841176,3.130246070000002,15,136.505438275,0.09816509571226005,8.754995989216928e-15,5,12,0.27233094000000335,0.00016120459366213217,0.061611267258680706,0.0703318383128934,-11.449579172037037,0.01650045519248428,-141.91423156203703,0.5740069888888883,0.2833618925925926,0.09259259259259259,1,4.754772344721617,4.7303414153161,0.09259259259259259,2,6.9005955849056635,0.018518518518518517,21,1,0.9151488276718863,0.05333588144798984,0.0426014044116175,0.04734399613368322,0.047907137592689795,0.09816509571226005,0.8470265462035468,0.005953598812092135,0.004439242394157718,44.21,93.8
7,10.013289944727273,9.7855780065,4.997079712781819,5.111298398,0.08754408559498969,1.802161508,2.009049421,0.10480991249999994,0.6392238807077317,0.40327075546333635,0.04461553136965373,0.05060584866829226,0.05084817724014494,14,24.42534319,3.678487839999999,8,135.59515775,0.09729903618481031,1.3148771119103118e-13,7,9,0.23423212499999835,0.0007742278326274837,0.0027962103246955044,0.7014057038372781,-11.376981444727273,0.009577661288325079,-142.33506949290907,0.1328994472727261,-0.05840574436363481,0.09090909090909091,1,4.377204279749485,5.060584866829225,0.10909090909090909,2,7.828893622641512,0.09090909090909091,19,0,0.9253498813612447,0.0478238962673013,0.03643933834322673,0.04461553136965373,0.05084817724014494,0.09729903618481031,0.8577760654410969,0.00640293127019952,0.004638869036816357,46.48,89.27
8,10.012843041166667,9.82040094875,4.9749451153125,5.11661531975,0.09490314750565679,1.826565661,2.1081534565,0.13098754825000025,-0.008702391199101298,-0.6874222317317713,0.04657505250866121,0.051247098569220516,0.051296003596626165,15,24.76910242,3.2923527999999997,6,133.44224425,0.10479587195180373,9.762777399459924e-16,5,8,0.221521580000001,0.024248978504539234,0.028689780026727552,0.24976961062673203,-11.426797365208332,-0.15029779624083162,-142.14989113666667,0.12843041166666716,-0.50109769375,0.08333333333333333,1,4.745157375282838,5.124709856922052,0.08333333333333333,1,6.531688981132078,0.041666666666666664,20,1,0.9107331133913867,0.05432513313992412,0.03803015164840644,0.04657505250866121,0.051296003596626165,0.10479587195180373,0.8630637392260112,0.005702116476986352,0.004076738197929174,44.53,96.65
9,10.06837779526316,9.789801669,4.974124807350877,5.106946931,0.0717447556730354,1.842277036,2.04791972,0.08483192699999997,-0.05189077874303449,0.19290546528251085,0.035817592134231684,0.05307334651583593,0.05328484374823118,15,24.90539623,3.4144188999999976,12,136.2242175,0.09547840242541297,1.4574613965256916e-14,5,10,0.26462149000000323,0.0077504032083627085,0.015018954821446306,0.36378447559871296,-11.286529049649122,0.08295340104896659,-142.1677819894737,0.6837779526315796,-0.5175038529824555,0.17543859649122806,3,3.5872377836517706,5.307334651583592,0.10526315789473684,1,6.867226905660371,0.03508771929824561,20,1,0.9366214182691155,0.03924275459803921,0.030054717941986036,0.035817592134231684,0.05328484374823118,0.09547840242541297,0.8507783379554829,0.006448074432470875,0.00480534366918713,44.39,90.47
10,9.988909871660713,9.8184880435,4.983013002821429,5.09171615,0.09066868870714014,1.77708741,2.0696863949999997,0.11546476449999976,0.08737884268675057,0.2609953788053092,0.045023588364874786,0.05183332498918373,0.05150679214432439,15,24.71762243,3.3621199500000003,12,135.8342116,0.09758726238201146,2.1973131385444605e-14,6,11,0.2975107224999931,0.033971034481038755,4.919263977080941e-05,0.9590841694659296,-11.37274039642857,0.16860069129934646,-142.18793388214286,-0.1109012833928572,-0.33973994357142967,0.08928571428571429,2,4.533434435357007,5.183332498918372,0.14285714285714285,2,6.725953094339627,0.07142857142857142,21,1,0.9242118760774488,0.045309928043741225,0.03383158086708553,0.045023588364874786,0.05150679214432439,0.09758726238201146,0.8439765560616952,0.006552855706841192,0.005172140074180675,44.71,95.87
