Batch_ID,Yeast_kg_skewness,Yeast_kg_num_valleys,Salt_kg_trend_r2,Salt_kg_trend_pvalue,Salt_kg_num_peaks,Salt_kg_num_valleys,Water_Temp_C_std,Water_Temp_C_cv,Water_Temp_C_trend_r2,Mixer_Speed_RPM_std,Mixer_Speed_RPM_q25,Mixer_Speed_RPM_q75,Mixer_Speed_RPM_iqr,Mixer_Speed_RPM_cv,Mixer_Speed_RPM_trend_slope,Mixer_Speed_RPM_num_peaks,Mixer_Speed_RPM_num_valleys,Mixing_Temp_C_median,Mixing_Temp_C_range,Mixing_Temp_C_trend_slope,Fermentation_Temp_C_std,Fermentation_Temp_C_q75,Fermentation_Temp_C_iqr,Fermentation_Temp_C_cv,Fermentation_Temp_C_trend_r2,Fermentation_Temp_C_trend_pvalue,Fermentation_Temp_C_num_peaks,Fermentation_Temp_C_num_valleys,Oven_Temp_C_min,Oven_Temp_C_skewness,Oven_Temp_C_trend_slope,Oven_Temp_C_num_peaks,time_steps,avg_time_step,Water_Temp_C_Fermentation_Temp_C_diff_std,Water_Temp_C_Oven_Temp_C_diff_std,Water_Temp_C_Oven_Temp_C_correlation,Mixing_Temp_C_Oven_Temp_C_correlation,Yeast_kg_max_consecutive_oot,Water_Temp_C_deviation_std,Water_Temp_C_max_deviation,Mixer_Speed_RPM_deviation_std,Fermentation_Temp_C_deviation_std,Water_Temp_C_volatility,Mixer_Speed_RPM_stability,Mixer_Speed_RPM_mean_change_rate,Mixer_Speed_RPM_volatility,Fermentation_Temp_C_stability,Fermentation_Temp_C_mean_change_rate,Fermentation_Temp_C_volatility,Final_Weight,Quality_Score
1,-0.23681454066678842,17,0.012140916269956928,0.4232280395500827,13,14,0.8648542249804555,0.03272863584714594,0.8598612262944758,14.812521745403176,135.30250215,165.40990375,30.107401600000003,0.09819322026104779,-0.7796257053318905,4,4,37.94938647,6.21479832,0.10606301330014424,0.17364734220730088,37.10655138,0.23328124500000058,0.00469501827950521,0.00024212843546776646,0.9102241946579568,16,16,178.1588182,0.24474794426436394,-0.019614678405483435,16,55,1.0727272727272728,0.8597112854282427,1.4224380452882541,-0.2661879210386665,-0.34436141401145215,2,3.263600848982851,6.28075,9.875014496935451,0.4693171411008132,0.03272863584714594,0.3105740423172525,0.011065936194803418,0.09819322026104779,0.8580022167931523,0.005603890299388748,0.00469501827950521,44.27,93.96
2,-0.6284137217146356,14,0.025109829342368876,0.26673331059042077,14,14,0.8455710322523733,0.031888799387694546,0.8078989804674936,15.353509978267152,134.9598436,165.7341736,30.774329999999992,0.10156144362423505,-0.872307895647059,5,6,37.93264488,6.403228540000001,0.11851529415384615,0.16315872682768914,37.04956824,0.19670279999999707,0.004416788950819272,0.003192768756853871,0.6937031716049991,14,11,178.2742289,0.034963446782858155,0.012532901692307719,14,51,1.1372549019607843,0.8666128235817735,1.1568179849493132,0.1425102366126531,0.14263424317606985,1,3.19083408397122,6.532620150943397,10.235673318844768,0.4409695319667274,0.031888799387694546,0.297430912919996,0.011991573713202905,0.10156144362423505,0.8762905452203184,0.0044518663813175674,0.004416788950819272,43.67,91.03
3,-0.27213182688872645,11,0.010007453704835405,0.5083072313609562,15,11,0.9125915760899521,0.03458387656661413,0.8853379090310772,15.17633782566473,134.80831725000002,166.2806695,31.47235224999997,0.10012944222704105,-0.9238019771384519,5,3,37.783972805000005,5.74233263,0.1231148748664817,0.16546576480892847,37.093454275,0.2288211499999946,0.004471956629583835,0.03136699396037042,0.23900451617115528,12,10,177.4946963,-0.179380701593368,-0.004202489047178624,12,46,1.2826086956521738,0.8804333175161134,1.2792327897912592,0.09929656105022029,-0.04091775103608819,1,3.4437417965658565,6.12036520754717,10.117558550443153,0.4472047697538607,0.03458387656661413,0.27667478192269646,0.013294873777687607,0.10012944222704105,0.8722413312330782,0.0044664704095169405,0.004471956629583835,43.56,97.06
4,-0.11805878820765738,16,0.00045789345569605876,0.8791193499857569,14,17,0.8885657164995682,0.0336357579823334,0.90736068102053,14.744861568747366,135.0559543,164.6919846,29.636030300000016,0.09839623372830295,-0.7818878125141104,3,5,37.86442374,6.63071162,0.11325673242460894,0.15201339499640318,37.08620194,0.17314068000000304,0.004108502614751919,0.10563597013066829,0.017567864864970417,14,9,177.6393411,-0.3714382125243523,0.008437522625383168,15,53,1.1132075471698113,0.8465700373874089,1.2649871985989316,0.10585230931059052,0.08145055336598421,2,3.3530781754700683,6.615339622641507,9.829907712498242,0.4108470135037923,0.0336357579823334,0.29375048766146317,0.011606269812372507,0.09839623372830295,0.8793049812151309,0.003846021163092594,0.004108502614751919,43.15,95.29
5,-0.08447229864071067,18,1.1043028298000122e-05,0.9802486723210146,19,16,0.9322349512848896,0.03521364798433644,0.9148457148316044,14.560776956023583,135.2115763,163.91174415,28.700167850000014,0.09743169737364571,-0.7044448611492201,6,7,38.472529445000006,7.033218359999999,0.10415230722415329,0.19333635731821916,37.119454402500004,0.2692687675000016,0.005227240587202201,0.0001328160293053182,0.9315770640083425,18,17,178.1143421,0.043060046210393506,-0.016117604121935452,17,58,1.0172413793103448,0.9436955455396506,1.5668377978083456,-0.2776574219337342,-0.2632162393584183,2,3.517867740697697,6.793542679245289,9.707184637349055,0.5225306954546465,0.03521364798433644,0.3128674400849174,0.010797639839165717,0.09743169737364571,0.844949587893075,0.006614068003785724,0.005227240587202201,46.83,96.57
6,-0.4218707070987568,14,0.011355821972845796,0.44311449413671566,17,16,0.8679869025432103,0.032741432850206476,0.8615381178463739,14.834028994466433,136.505438275,164.91173795,28.406299675000014,0.09816509571226005,-0.7824988932570994,5,5,37.777434549999995,6.5921077100000005,0.10377833179149994,0.17588469044291408,37.0831435075,0.27233094000000335,0.004762428641017353,0.00016120459366213217,0.9273961784488001,16,16,177.5418306,-0.09693517994800974,-0.00682339675242994,15,54,1.0740740740740742,0.874825823359546,1.2830381145531866,0.004534864880506722,-0.1172072065621842,2,3.275422273747963,6.9005955849056635,9.889352662977622,0.4753640282240921,0.032741432850206476,0.303627879626752,0.011290344942574727,0.09816509571226005,0.8470265462035468,0.006109108775755047,0.004762428641017353,45.01,95.54
7,0.6392238807077317,16,0.019484362185642878,0.30943427335210294,14,16,1.0014127720689274,0.03804062397394581,0.8949123708724489,14.656735384110457,135.59515775,165.2046235,29.60946575,0.09729903618481031,-0.7363113641991342,7,6,37.84979223,6.200068129999998,0.11042742085425684,0.1756369240842881,37.09165255,0.23423212499999835,0.004752341306538864,0.0007742278326274837,0.8401867662895104,17,12,178.2716457,-0.19130227254430499,-0.005029897503607611,17,55,1.0545454545454545,1.0037412675894533,1.3616207718595157,-0.08181119090223819,-0.08732868397344985,1,3.7789161210148206,7.828893622641512,9.771156922740305,0.4746943894169949,0.03804062397394581,0.31027217626323106,0.011692014335240405,0.09729903618481031,0.8577760654410969,0.004992254258504976,0.004752341306538864,45.05,94.03
8,-0.008702391199101298,13,0.0025280961442427133,0.7343207574860598,15,15,0.8967908918332382,0.033813023054504836,0.8920139799213046,15.780929572839261,133.44224425,166.331608475,32.88936422500001,0.10479587195180373,-0.9808176600195395,5,3,37.898296155,5.781344959999998,0.11608981420538433,0.16250878969436175,37.084092985,0.221521580000001,0.004394076410293341,0.024248978504539234,0.29056133172367254,16,14,177.5010025,-0.28058222203217803,0.004464797812635752,13,48,1.2083333333333333,0.9184025821230423,1.233532738180149,0.07168109978891955,0.10561669355415698,2,3.384116572955616,6.531688981132078,10.520619715226175,0.43921294511989667,0.033813023054504836,0.28252308372119544,0.012226473826023182,0.10479587195180373,0.8630637392260112,0.0053866582187209085,0.004394076410293341,44.26,97.64
9,-0.05189077874303449,16,0.0009074652399676777,0.8239681008962747,15,15,0.8502737595162414,0.03207231996048348,0.8751782012183975,14.346263115205977,136.2242175,165.0335609,28.80934339999999,0.09547840242541297,-0.703203184845735,5,3,37.89459749,7.178624859999999,0.11522414632940108,0.18530602763166337,37.0944258,0.26462149000000323,0.005013359974925869,0.0077504032083627085,0.5149167563122203,14,16,177.7643482,-0.13603685522785777,0.006683330710396729,16,57,1.0350877192982457,0.8651573097325188,1.2496123665481706,0.1832420676322714,0.14939097620092906,1,3.20858022458959,6.867226905660371,9.564175410137318,0.5008271017071982,0.03207231996048348,0.3148268405467652,0.010266703732751773,0.09547840242541297,0.8507783379554829,0.005615141879237717,0.005013359974925869,43.61,97.33
10,0.08737884268675057,17,0.009785660537716854,0.46823496762354755,15,12,0.8863845497171704,0.03351712661433433,0.8798124224642022,14.74133182157901,135.8342116,165.541385975,29.707174374999994,0.09758726238201146,-0.7363242313431305,6,4,37.80136621,6.678584409999999,0.11017172414559122,0.20784379641141307,37.200073957499995,0.2975107224999931,0.005611123986784349,0.033971034481038755,0.17388012008108183,10,14,177.4217071,-0.2099604224003356,0.00011668424470261085,15,56,1.0535714285714286,0.8483394155645381,1.2745952242187855,0.11133608332408369,0.010596979907129121,1,3.3448473574232844,6.725953094339627,9.827554547719341,0.5617399903011164,0.03351712661433433,0.32410075516981135,0.010082737901550252,0.09758726238201146,0.8439765560616952,0.005437985168064127,0.005611123986784349,44.5,97.34
