Batch_ID,Flour_kg_trend_r2,Flour_kg_trend_pvalue,Flour_kg_num_valleys,Sugar_kg_mean,Sugar_kg_max,Sugar_kg_median,Sugar_kg_range,Sugar_kg_q25,Sugar_kg_kurtosis,Sugar_kg_trend_r2,Sugar_kg_trend_pvalue,Yeast_kg_mean,Yeast_kg_median,Yeast_kg_q25,Yeast_kg_q75,Salt_kg_max,Water_Temp_C_median,Mixer_Speed_RPM_mean,Mixer_Speed_RPM_q75,Mixer_Speed_RPM_trend_pvalue,Mixing_Temp_C_max,Mixing_Temp_C_trend_slope,Fermentation_Temp_C_kurtosis,Fermentation_Temp_C_trend_slope,Fermentation_Temp_C_num_peaks,Fermentation_Temp_C_num_valleys,Oven_Temp_C_mean,Oven_Temp_C_max,Oven_Temp_C_median,Oven_Temp_C_range,Oven_Temp_C_skewness,Oven_Temp_C_kurtosis,Water_Temp_C_Mixing_Temp_C_correlation,Water_Temp_C_Fermentation_Temp_C_correlation,Fermentation_Temp_C_Oven_Temp_C_diff_mean,rpm_per_kg_flour,Sugar_kg_mean_deviation,Sugar_kg_max_deviation,Yeast_kg_mean_deviation,Yeast_kg_max_consecutive_oot,Mixer_Speed_RPM_mean_deviation,Oven_Temp_C_mean_deviation,Oven_Temp_C_max_deviation,Oven_Temp_C_out_of_tolerance_ratio,Oven_Temp_C_max_consecutive_oot,Mixer_Speed_RPM_stability,Mixer_Speed_RPM_mean_change_rate,Fermentation_Temp_C_mean_change_rate,Oven_Humidity_pct_stability,Oven_Humidity_pct_mean_change_rate,Final_Weight,Quality_Score
1,0.0061549451890352685,0.5691245867454916,15,4.968058721418181,5.320582046,4.972894746,0.7348180229999999,4.847174332,-0.46603025518750263,0.01067302862319662,0.45290318140214736,2.004387239054545,2.006350146,1.947286993,2.0698802435,1.098457861,26.35088679,150.8507583927273,165.40990375,6.630200138260686e-16,41.0542188,0.10606301330014424,-0.005047644390645534,0.00016865775036076347,16,16,180.19582119999998,182.6378818,180.2022259,4.479063599999989,0.24474794426436394,-0.5759864883019934,0.869757263582852,0.0843510954421549,-143.21037580454544,15.121636670122092,-0.6388255716363648,8.284719539999994,0.21936195272727255,2,0.5671722618181811,0.10878955555555574,1.4654898888888903,0.01818181818181818,1,0.3105740423172525,0.011065936194803418,0.005603890299388748,0.5016850106852017,0.028300014413916934,45.35,96.29
2,0.0027220537138883728,0.7161546860043885,12,4.953046524960785,5.277732904,4.948589518,0.6670379609999992,4.819671342,-0.721744384389428,0.03200359488951648,0.20909478353519817,1.9910064614705885,2.012101839,1.9376985425,2.0502688115,1.074045343,26.56934772,151.174593727451,165.7341736,6.74351188336767e-15,41.08769721,0.11851529415384615,-0.17374535852456585,-0.0006201516497737654,14,11,179.9436064941176,181.8710745,179.9174646,3.5968455999999946,0.034963446782858155,-0.8385854916402908,0.8863375464231661,-0.08852781600431314,-143.00303073999999,15.10896214774386,-0.9390695007843138,7.786101139999993,-0.44967692647058805,1,0.7830624849673209,-0.03132972549019684,1.0394858333333288,0.0,0,0.297430912919996,0.011991573713202905,0.0044518663813175674,0.49711564429297783,0.028830999194882,44.41,89.24
3,0.00016081448385739193,0.9333388316769755,15,5.015542155326087,5.44731059,5.0155858030000005,0.9205346929999996,4.87726704375,-0.1565237719883008,0.027450477521249184,0.27115326062127026,2.0004510093913046,2.0001458750000003,1.9342012720000001,2.0789426447499997,1.077191915,26.286419279999997,151.5671863152174,166.2806695,4.3476279931525995e-12,40.80834796,0.1231148748664817,0.3243867226421089,0.0021832696589577606,12,10,179.87618892391308,181.9646544,179.77936665,4.469958100000014,-0.179380701593368,-0.14343368374846177,0.9090584091657405,0.2245445063697398,-142.8754354473913,15.306695785320716,0.310843106521739,9.464482059999995,0.02255046956521705,1,1.0447908768115937,-0.06878393115942003,1.3918353888888961,0.06521739130434782,2,0.27667478192269646,0.013294873777687607,0.0044664704095169405,0.5249701788313612,0.024263588630720964,43.49,94.78
4,0.023878537011339872,0.2692467011498985,12,5.02889313037736,5.420408951,5.032765023,0.8144706670000001,4.909671782,-0.3277919293486389,0.0036989576801333326,0.6652964221509365,1.9827411637924528,1.990275756,1.907431198,2.052332378,1.064421681,26.41692732,149.8518897528302,164.6919846,6.747039633269845e-14,41.12567489,0.11325673242460894,-0.4922743056267187,0.0031992161191742945,14,9,180.0910713283019,182.2565225,180.1931146,4.617181399999993,-0.3714382125243523,-0.3804429625712853,0.9011202534874048,0.3042555160706898,-143.09136383132073,14.99064717383531,0.5778626075471711,8.408179019999995,-0.8629418103773576,2,-0.09874016477987435,0.05059518238993701,1.311477166666669,0.03773584905660377,1,0.29375048766146317,0.011606269812372507,0.003846021163092594,0.5336267138949686,0.02448003812987584,44.27,92.82
5,0.0010477908411066607,0.8093875074321404,15,5.0294879705862074,5.431269926,5.0128490175,0.7883229359999993,4.9077131055,-0.6768639624745139,0.008656787571154135,0.4872622711455451,2.001823536275862,1.9943079725000001,1.937681502,2.08252486275,1.099717247,26.511517135,149.4459949741379,163.91174415,5.269341199603401e-15,41.31084794,0.10415230722415329,-0.639249279444245,-0.00013194392475929438,18,17,180.0866525275862,182.3202182,180.18251105000002,4.205876100000012,0.043060046210393506,-0.47089292936829175,0.9350143567517049,0.0007095923736762186,-143.10033936810345,14.975440116853541,0.5897594117241374,8.625398519999994,0.09117681379310331,2,-0.36933668390804664,0.048140293103448466,1.2890101111111107,0.05172413793103448,1,0.3128674400849174,0.010797639839165717,0.006614068003785724,0.48512572309610547,0.02960637747712752,46.16,97.03
6,0.018384582130341304,0.32827850565866745,15,5.014168094629631,5.45157126,5.0276023895,0.9487040200000001,4.879625014249999,-0.07441961490430282,0.001652827384336912,0.770376769166141,2.008606257611111,2.021083017,1.94460159325,2.06752945025,1.076995757,26.47906058,151.11307014814818,164.91173795,8.754995989216928e-15,41.57455428,0.10377833179149994,-0.7473924830404552,0.0001419479561654448,16,16,179.87416251111105,181.6968898,179.93013875000003,4.155059200000011,-0.09693517994800974,-0.6202969546403216,0.9185815013255179,0.01498851639942028,-142.94244054722222,15.025062108228692,0.2833618925925926,9.942655200000008,0.4303128805555572,2,0.7420467654320988,-0.06990971604938179,1.3656496666666682,0.018518518518518517,1,0.303627879626752,0.011290344942574727,0.006109108775755047,0.4911273942619814,0.029766707360056644,45.33,96.48
7,0.0037907328392533463,0.6552045539846763,12,4.997079712781819,5.473696342,4.963653292,0.8480393660000001,4.8852578265,-0.2017255502700226,0.008121627663430808,0.5128988329892186,1.9621885676909094,1.952647695,1.9042395085,2.009049421,1.095114157,26.23229489,150.63597707454548,165.2046235,1.3148771119103118e-13,40.76525898,0.11042742085425684,-0.42870592978914734,0.0003050461002885722,17,12,180.0368760181818,181.5836506,180.0905839,3.312004900000005,-0.19130227254430499,-0.8804537364607619,0.916272437458547,0.021383265168013105,-143.0788983067273,15.043604839772597,-0.05840574436363481,9.473926840000004,-1.8905716154545458,1,0.42398471636363516,0.020486676767676355,0.960196833333337,0.0,0,0.31027217626323106,0.011692014335240405,0.004992254258504976,0.5113757807131107,0.027454532317474863,42.87,93.36
8,0.002975012986258938,0.7127219259442754,16,4.9749451153125,5.392001504,4.943058777999999,0.7462860139999998,4.8371491112500005,-0.56282608561582,0.0002344667625992404,0.9177277763407701,2.03763908775,2.0313304304999997,1.97716590825,2.1081534565,1.088672367,26.613241265,150.5873206541667,166.331608475,9.762777399459924e-16,40.8787941,0.11608981420538433,-0.2966404369386413,-0.0018075717466348286,16,14,180.09874452708334,181.8752254,180.1171385,4.374222900000007,-0.28058222203217803,0.06354175034514897,0.9294683574543138,-0.10555468521331852,-143.11513875416668,15.039416880404898,-0.50109769375,7.84003007999999,1.8819543875000004,2,0.3915471027777772,0.05485807060185155,1.3883319444444453,0.020833333333333332,1,0.28252308372119544,0.012226473826023182,0.0053866582187209085,0.4996886743920486,0.02942323149708155,46.01,91.06
9,0.004801427362009807,0.6085307282842948,17,4.974124807350877,5.391936796,4.967677148,0.781404771,4.818276822,-0.6795889336837901,8.839913701207515e-05,0.9446608561487378,2.003059150491228,2.001181432,1.963087793,2.04791972,1.108625279,26.58361405,150.2566313508772,165.0335609,1.4574613965256916e-14,40.92484201,0.11522414632940108,-0.7619786082079152,0.000982858262898632,14,16,179.96545088070178,182.5354794,180.1190766,4.7711312000000135,-0.13603685522785777,-0.5398482815829433,0.8928888333215613,-0.01446870021349091,-143.00300881421052,14.923618720541853,-0.5175038529824555,7.838735920000009,0.1529575245614039,1,0.17108756725146143,-0.01919395516569133,1.4085996666666745,0.08771929824561403,1,0.3148268405467652,0.010266703732751773,0.005615141879237717,0.532429390496897,0.021005994874055727,45.05,95.16
10,0.026691508671963522,0.2289306258093956,15,4.983013002821429,5.394844821,4.996687446499999,0.8440426360000002,4.875932134,-0.05204440612044303,0.0017768952857259647,0.7577259544676214,2.013804141339286,2.0114407925,1.9542216305,2.0696863949999997,1.101065807,26.464018275,151.05795020535714,165.541385975,2.1973131385444605e-14,40.59675164,0.11017172414559122,-0.30261549468803484,0.002348824856801103,10,14,180.0063944,182.1520734,180.118031,4.730366300000014,-0.2099604224003356,-0.06285886879234726,0.9023535695835905,0.26084787580182706,-142.96501073053574,15.122566140467429,-0.33973994357142967,8.983956299999996,0.690207066964286,1,0.7053001369047617,0.003552444444443803,1.432384944444449,0.05357142857142857,1,0.32410075516981135,0.010082737901550252,0.005437985168064127,0.5497067439913569,0.021563622386578957,44.14,93.26
