Batch_ID,Flour_kg_iqr,Sugar_kg_std,Sugar_kg_cv,Yeast_kg_median,Yeast_kg_trend_slope,Yeast_kg_num_peaks,Yeast_kg_num_valleys,Water_Temp_C_mean,Water_Temp_C_median,Water_Temp_C_q25,Mixer_Speed_RPM_min,Mixer_Speed_RPM_trend_slope,Mixer_Speed_RPM_trend_r2,Mixing_Temp_C_mean,Mixing_Temp_C_trend_pvalue,Fermentation_Temp_C_trend_pvalue,Oven_Temp_C_std,Oven_Temp_C_cv,Oven_Temp_C_num_peaks,Oven_Temp_C_num_valleys,Oven_Humidity_pct_mean,Oven_Humidity_pct_median,Oven_Humidity_pct_q25,Oven_Humidity_pct_q75,Oven_Humidity_pct_skewness,Oven_Humidity_pct_num_peaks,time_steps,avg_time_step,time_consistency,time_regularity,Water_Temp_C_Fermentation_Temp_C_diff_mean,Water_Temp_C_Oven_Temp_C_correlation,Mixing_Temp_C_Fermentation_Temp_C_diff_mean,Mixing_Temp_C_Oven_Temp_C_diff_mean,Fermentation_Temp_C_Oven_Temp_C_diff_std,Sugar_kg_deviation_std,Sugar_kg_out_of_tolerance_ratio,Water_Temp_C_mean_deviation,Mixer_Speed_RPM_out_of_tolerance_ratio,Mixing_Temp_C_mean_deviation,Mixing_Temp_C_max_consecutive_oot,Oven_Temp_C_deviation_std,Oven_Humidity_pct_mean_deviation,Sugar_kg_stability,Sugar_kg_mean_change_rate,Sugar_kg_volatility,Mixer_Speed_RPM_stability,Mixer_Speed_RPM_change_rate_std,Oven_Temp_C_stability,Oven_Temp_C_volatility,Final_Weight,Quality_Score
1,0.3466775259999988,0.17544627121461917,0.03531485456446785,2.006350146,-0.0006461238794372294,16,17,26.42500069418182,26.35088679,25.72625676,128.7828034,-0.7796257053318905,0.7110231950629222,37.89088927054545,5.010742522893967e-30,0.9102241946579568,0.9384712419112891,0.0052080632928200735,16,16,44.96067944181818,44.8734811,44.242872415,45.716819720000004,-0.08939975339103677,17,55,1.0727272727272728,0.34793137459362844,0.741877530895427,-10.560444701272731,-0.2661879210386665,0.9054438750909094,-142.30493192945457,0.9535641359713259,3.508925424292383,0.10909090909090909,-0.28301624837049777,0.7272727272727273,-0.28713349856459286,7,0.5213729121729384,-0.08737901818181852,0.8586900173731417,0.03763310979044259,0.03531485456446785,0.3105740423172525,0.007017177116258317,0.5362695097343783,0.0052080632928200735,42.65,96.9
2,0.31637823150000166,0.1650956849219456,0.03333214902988474,2.012101839,-0.0004947674572850682,14,14,26.516239196470586,26.56934772,25.833195064999998,128.8891151,-0.872307895647059,0.71337277254934,37.93602323882353,2.2787181355943142e-29,0.6937031716049991,0.9356852656435368,0.005199880584110248,14,14,44.956629973725484,44.8823327,44.169191330000004,45.693189915000005,0.44158051200248377,15,51,1.1372549019607843,0.463033476111609,0.6835113593283999,-10.42433655764706,0.1425102366126531,0.9954474847058825,-142.00758325529412,0.9464243538102864,3.301913698438912,0.058823529411764705,0.06127998668146493,0.7647058823529411,-0.16835989783281693,10,0.5198251475797426,-0.09637783616557742,0.8751634160466224,0.03274558498694614,0.03333214902988474,0.297430912919996,0.009753483420014888,0.530988645301115,0.005199880584110248,45.58,91.34
3,0.5420186102499986,0.1910703449524619,0.03809565128458967,2.0001458750000003,0.00033014491199506734,10,11,26.38777565413043,26.286419279999997,25.68396418,129.3041706,-0.9238019771384519,0.6675722072323053,37.836713902173926,6.322139728695573e-26,0.23900451617115528,1.0115894521949624,0.005623809678460893,12,13,44.81962747956521,44.854114734999996,44.1348230425,45.4963302575,-0.15090580817851168,14,46,1.2826086956521738,0.6261779023824608,0.6149388689484294,-10.612977822391304,0.09929656105022029,0.8359604256521734,-142.03947502173912,0.9959599473373548,3.8214068990492374,0.13043478260869565,-0.42348809762100176,0.717391304347826,-0.42970025743707163,9,0.5619941401083125,-0.4008278231884053,0.8468424302678244,0.0439524095552539,0.03809565128458967,0.27667478192269646,0.011578807192183935,0.5155751780883394,0.005623809678460893,45.06,94.24
4,0.3705652060000002,0.18352130600684755,0.03649337960639391,1.990275756,0.0003976149221899683,15,16,26.417294266603776,26.41692732,25.56334206,128.4964022,-0.7818878125141104,0.6706499116398829,37.976762202264155,8.646325317137967e-29,0.017567864864970417,1.0161538992981063,0.0056424446353905075,15,14,45.14461978113208,45.01525793,44.50503545,45.77083396,-0.030515292442111118,16,53,1.1132075471698113,0.341312295178824,0.7455385323718962,-10.582413230377359,0.10585230931059052,0.9770547052830194,-142.11430912603774,0.9998780965561753,3.6704261201369506,0.11320754716981132,-0.31209710715557104,0.6981132075471698,-0.06115209930486495,5,0.5645299440545034,0.3213772914046127,0.8502438582193264,0.04111003079133625,0.03649337960639391,0.29375048766146317,0.00849541717010257,0.5310028163263838,0.0056424446353905075,44.52,93.15
5,0.35360761674999885,0.1864199331675679,0.03706539000745236,1.9943079725000001,-0.0013657771477437023,18,18,26.473682922586203,26.511517135,25.6695154975,129.2851869,-0.7044448611492201,0.6674575825589751,38.08543934568966,2.204083419568237e-29,0.9315770640083425,1.0434589619234385,0.005794204885693004,17,17,44.995662145344824,45.11826703,44.20232498,45.7956085275,-0.3309979100280131,17,58,1.0172413793103448,0.1840015523105529,0.8445934872707912,-10.512630236896552,-0.2776574219337342,1.0991261862068968,-142.00121318189656,1.0908725131555623,3.7283986633513573,0.10344827586206896,-0.0993097260897854,0.7068965517241379,0.22484038339383033,8,0.5796994232907992,-0.009639677011494834,0.847349026492015,0.04549430917707974,0.03706539000745236,0.3128674400849174,0.008814272500197525,0.5100870528974262,0.005794204885693004,44.14,95.03
6,0.4166175407500017,0.19347732115658833,0.038586125854817285,2.021083017,-0.0005439922884314839,15,14,26.510351777037044,26.47906058,25.8014593825,129.7402533,-0.7824988932570994,0.6886910199279287,37.95993094907408,2.1858779520459152e-32,0.9273961784488001,0.9651131706232495,0.005365490836204079,15,14,44.9869087625926,45.122541455000004,44.2349572125,45.6023524625,-0.0741483768477964,17,54,1.0740740740740742,0.2923006299024466,0.7738137526679749,-10.421370186851853,0.004534864880506722,1.0282089851851857,-141.91423156203703,0.9732549088362458,3.8695464231317676,0.09259259259259259,0.039063309573723975,0.7407407407407407,-0.10544487085769913,3,0.536173983679583,-0.029091638683127887,0.8503037606962299,0.04059180712762366,0.038586125854817285,0.303627879626752,0.00861335224866521,0.5401397963496165,0.005365490836204079,45.21,96.69
7,0.4896298684999998,0.17969313359367686,0.035959629207844616,1.952647695,-0.000984891898412699,16,16,26.324825080545455,26.23229489,25.46203724,128.5374505,-0.7363113641991342,0.6477657526158277,37.70180652527273,3.375932764124938e-32,0.8401867662895104,0.8626520349623,0.004791529680148313,17,19,45.11328254109092,45.27403884,44.51581479,45.878905865,-0.579383392927476,18,55,1.0545454545454545,0.261891400439462,0.7924612210303862,-10.633152630909093,-0.08181119090223819,0.7438288138181817,-142.33506949290907,0.8803137253688735,3.593862671873537,0.09090909090909091,-0.6610374319039457,0.6909090909090909,-0.7847196703349282,11,0.4792511305346111,0.2517389802020201,0.8546178305121455,0.041810474802567194,0.035959629207844616,0.31027217626323106,0.007786393671266431,0.5354949536845903,0.004791529680148313,42.12,92.97
8,0.38301324625,0.17716471483249766,0.03561139082463407,2.0313304304999997,0.0010997563890577493,12,13,26.522056025208332,26.613241265,25.727394789999998,129.0954619,-0.9808176600195395,0.7571247823248716,37.948853390416666,4.1018062887929565e-28,0.29056133172367254,0.9325432544144511,0.005177955331466593,13,13,44.90465164791667,44.946039604999996,44.1246687525,45.6664585125,-0.008234301965561061,12,48,1.2083333333333333,0.659231207865092,0.6026887604691845,-10.461549747708332,0.07168109978891955,0.9652476174999999,-142.14989113666667,0.9263151566404544,3.5432942966499525,0.08333333333333333,0.0832302838050308,0.7708333333333334,-0.13459634100877263,4,0.5180795857858063,-0.21188522685185215,0.8551869894076195,0.04198715006920422,0.03561139082463407,0.28252308372119544,0.011352893761419913,0.5212454075352823,0.005177955331466593,46.2,93.87
9,0.4853684810000001,0.19976048413319372,0.04015992599099706,2.001181432,-0.000720951136375421,15,16,26.51113984157895,26.58361405,25.91306168,129.2481714,-0.703203184845735,0.6619202656709049,37.797668891228064,1.633905151905148e-33,0.5149167563122203,1.0995885074587923,0.006109997791674493,16,14,45.12413046421052,45.24044751,44.60870011,45.72063923,-0.42688475735839954,15,57,1.0350877192982457,0.22517000380211594,0.8162132576676401,-10.451302224912281,0.1832420676322714,0.8352268247368421,-142.1677819894737,1.0903138858376074,3.9952096826638743,0.17543859649122806,0.04203713803376393,0.6842105263157895,-0.5324502862419209,11,0.6108825041437735,0.2758454760233923,0.8389018987854561,0.04923746114767609,0.04015992599099706,0.3148268405467652,0.0072546050562388885,0.4943431764228401,0.006109997791674493,43.58,90.98
10,0.3415119440000005,0.17416069319295496,0.03495088074109851,2.0114407925,-0.0006719363832877645,16,17,26.44572012142857,26.464018275,25.82496335,130.280334,-0.7363242313431305,0.6636611233691214,37.81846051785714,1.1209360789339799e-30,0.17388012008108183,1.0358058463910307,0.00575427250706062,15,16,44.99072443625,45.08574579,44.3233151025,45.4859014525,0.027404071326458012,18,56,1.0535714285714286,0.25968830649246727,0.7938471722298073,-10.595663548035715,0.11133608332408369,0.7770768483928567,-142.18793388214286,1.0197342033428423,3.483213863859099,0.08928571428571429,-0.20482973045822073,0.7321428571428571,-0.47773547932330895,10,0.5754476924394616,-0.020612363888889557,0.8548199669657961,0.04205627047448587,0.03495088074109851,0.32410075516981135,0.008018083504467128,0.5035732301203796,0.00575427250706062,45.24,95.87
