Batch_ID,Flour_kg_std,Flour_kg_range,Flour_kg_cv,Sugar_kg_mean,Sugar_kg_median,Sugar_kg_range,Sugar_kg_q75,Sugar_kg_trend_r2,Sugar_kg_trend_pvalue,Sugar_kg_num_valleys,Yeast_kg_skewness,Yeast_kg_trend_r2,Yeast_kg_trend_pvalue,Yeast_kg_num_valleys,Salt_kg_mean,Salt_kg_median,Salt_kg_q75,Salt_kg_trend_r2,Salt_kg_trend_pvalue,Salt_kg_num_valleys,Water_Temp_C_num_peaks,Mixer_Speed_RPM_mean,Mixer_Speed_RPM_max,Mixer_Speed_RPM_median,Mixer_Speed_RPM_q25,Mixing_Temp_C_max,Mixing_Temp_C_median,Mixing_Temp_C_skewness,Mixing_Temp_C_trend_r2,Mixing_Temp_C_num_valleys,Oven_Temp_C_mean,Oven_Humidity_pct_max,Oven_Humidity_pct_skewness,Water_Temp_C_Oven_Temp_C_diff_mean,Mixing_Temp_C_Fermentation_Temp_C_diff_std,Fermentation_Temp_C_Oven_Temp_C_diff_mean,Flour_kg_deviation_std,Flour_kg_out_of_tolerance_ratio,Sugar_kg_mean_deviation,Yeast_kg_max_consecutive_oot,Salt_kg_mean_deviation,Mixer_Speed_RPM_mean_deviation,Mixing_Temp_C_deviation_std,Oven_Temp_C_mean_deviation,Oven_Humidity_pct_max_deviation,Flour_kg_stability,Flour_kg_volatility,Yeast_kg_change_rate_std,Mixing_Temp_C_stability,Mixing_Temp_C_mean_change_rate,Final_Weight,Quality_Score
1,0.2547876846694422,1.2442073489999999,0.025511967825586707,4.95927899862264,4.96400866,0.7348180229999999,5.073420371,0.011893154290754717,0.4369648406479515,13,-0.2923401041346656,0.0281838609148639,0.22952030811165153,16,1.0157728091886793,1.030392017,1.049401446,0.008154799619432955,0.5201838550614486,13,10,149.7454228415094,170.3233305,149.9663294,134.7789084,41.0542188,38.13687848,-0.12616789586300378,0.916519812033969,9,180.0887647716981,46.70264467,-0.18068493519718237,-153.57563539018867,1.7505382815409218,-143.09006625018867,2.5478768466944217,0.03773584905660377,-0.8144200275471711,2,1.5772809188679244,-0.16971810566037768,4.593376780692447,0.04931376205450769,4.140698666666667,0.8205002599132605,0.025511967825586707,0.03979249727639966,0.6655468212749562,0.015357764707526684,43.67,93.45
2,0.2615030789813962,1.1107335440000004,0.026091134888174466,4.966446692962265,4.951537933,0.8103373329999997,5.110203412,0.02840700617167149,0.22765870521676046,12,-0.5258631555511035,0.0059341325512178526,0.5835174235653271,13,0.9913207150943397,0.993458006,1.028163828,0.00476625442272195,0.6232802330178981,15,11,150.53659754339623,171.1824753,151.9730264,134.9795037,41.08769721,37.99864703,0.019839890622896917,0.9325458305568459,10,179.8957916660377,47.05645133,0.36688854480443694,-153.36080515301887,1.9083371415056287,-142.94386167415092,2.6150307898139618,0.07547169811320754,-0.671066140754717,1,-0.867928490566038,0.3577316955974853,5.00421394786488,-0.057893518867925355,4.569891844444448,0.8008936254167005,0.026091134888174466,0.032200563118354286,0.6644338356540047,0.01376447746575338,44.93,95.3
3,0.3040595778245151,1.1445597240000005,0.030638412769629107,5.0151379910625,5.037904316500001,0.9205346929999996,5.1462113625,0.03142545108214675,0.22805723408851922,13,-0.1734791863966318,0.005296805908747241,0.6230090397810173,12,0.9986881605,1.0039269335,1.02617695275,0.010750280505241133,0.4831163451446886,15,11,152.17278162916668,170.4929817,156.44710915000002,136.44192322499998,40.80834796,37.705342115,0.1836189894003313,0.9232981095349116,9,179.82295953958337,46.45560048,-0.16744795729066758,-153.48983409270832,1.7006816093937498,-142.82639989999998,3.0405957782451507,0.10416666666666667,0.3027598212499997,2,-0.13118394999999947,1.44852108611111,4.513644780484521,-0.09835581134259243,5.685067844444439,0.7733055922914933,0.030638412769629107,0.04205240805598586,0.6729310724497486,0.015934993571331955,45.43,93.87
4,0.2968439150016525,1.407435434,0.02970733427791957,5.0405412862037045,5.0348664880000005,0.9353853750000001,5.1667999655,0.0004389489041836444,0.8804706940875946,15,-0.12403023591314331,0.0007004297045148833,0.8493369938526389,17,0.989928559814815,0.98731635,1.025444893,0.00306966755864079,0.6906905060731645,18,11,150.70222369814815,170.6812224,151.28635305,135.6896423,41.12567489,37.789877634999996,-0.09423452890265761,0.9102508433329431,11,180.03285646851856,46.85747721,-0.1317832828100878,-153.64501042740739,1.727887102271078,-143.03076968814815,2.9684391500165255,0.09259259259259259,0.8108257240740753,2,-1.007144018518519,0.46814913209876513,4.68703907442371,0.018253593621399264,4.8091928222222196,0.7793237954966469,0.02970733427791957,0.04416817014062309,0.6591916622782449,0.014606678054948436,45.08,89.22
5,0.2591929005710933,1.2466256419999997,0.02596818991914256,5.02709600854386,4.995166359,0.7883229359999993,5.160248891,0.007127597569301275,0.5323711144041468,16,0.02221471115375252,0.038545226137316986,0.14327506662602396,19,1.0041287812982456,1.006070156,1.031557235,0.00017202098309830716,0.9228601819432352,16,10,149.77455097368417,170.292194,149.8244183,135.4859545,41.31084794,38.46251929,-0.1844299680855682,0.8975560230972436,9,180.0557540280702,46.79701034,-0.306296159780892,-153.5894461349123,1.8590737893537723,-143.06495542491228,2.5919290057109325,0.05263157894736842,0.5419201708771925,2,0.4128781298245623,-0.15029935087719357,4.903148363030106,0.03097446003898649,5.17841184444445,0.806505038218727,0.02596818991914256,0.043171549442619035,0.6378994588759791,0.017278697473765568,43.56,94.24
6,0.3181826108410322,1.4389358850000011,0.03169391838453775,5.020542410706897,5.0276023895,0.9487040200000001,5.135902858750001,0.01443419940199508,0.3690153762078042,13,-0.40848734058329955,5.50860138323277e-05,0.9559038407898683,14,0.9861848489655172,0.988339684,1.019301767,0.011704104891802807,0.4188849717662807,17,15,151.05492458448276,171.3974763,152.74729435,137.080363975,41.57455428,37.71992419,0.08815193526165718,0.9401138543225187,12,179.9002209,47.87763752,0.1619271639053818,-153.42484049879312,1.7556872505016543,-142.96135638603448,3.181826108410322,0.13793103448275862,0.4108482141379309,2,-1.381515103448275,0.7032830563218385,4.670271826637739,-0.05543283333333277,6.394750044444446,0.7758787649799719,0.03169391838453775,0.04300101832356285,0.6857525923999911,0.0131919182675585,47.45,96.64
7,0.31236745136628025,1.3876163570000006,0.03111946909530154,5.000466019754717,4.963653292,0.8480393660000001,5.112288892,0.001381166708650869,0.7916272830686967,15,0.7126549668749149,0.0296290875311181,0.21777158348964595,15,0.9944314849056602,0.991998066,1.024385771,0.0009762978503968573,0.8242339851702645,15,7,150.4048922,171.051319,151.8671028,135.7473027,40.76525898,37.85386632,-0.03463782548849135,0.9236768041047422,8,180.0471771528302,46.90200037,-0.6019805914626017,-153.6714193628302,1.7817570663677937,-143.09466947509435,3.123674513662803,0.11320754716981132,0.009320395094341436,1,-0.5568515094339624,0.26992813333333193,4.698296337613038,0.026209529350104295,5.887636622222219,0.7775924652014702,0.03111946909530154,0.03739021730692821,0.6614561829630896,0.013917105785728577,43.85,91.77
8,0.25422023505567043,1.1192927350000001,0.025406160858419364,4.97386471802,4.943058777999999,0.7462860139999998,5.111207495,0.0017690506544616345,0.7718042225082349,16,-0.3688174282561691,0.052274933024305095,0.11025406139206896,13,0.9973235621800001,0.993565198,1.0449234892500001,0.007286744609602735,0.5555834850213625,16,7,150.347425938,171.0200458,150.2904767,133.672118925,41.13998585,37.898296155,0.05811464919146748,0.9335033385443007,8,180.061417454,47.05019939,0.07142249834104603,-153.5277284242,1.758457377762561,-143.0760953276,2.5422023505567046,0.08,-0.5227056395999998,2,-0.26764378199999955,0.23161729199999953,4.600498377364282,0.03412080777777773,5.077822444444438,0.799875741447584,0.025406160858419364,0.044996750978343256,0.6835787486078507,0.014128264258716623,44.29,94.19
9,0.29070844170957805,1.187149497,0.028899052865648416,4.976545663464286,4.9727527160000005,0.781404771,5.1128786175,0.0005149458902676618,0.8681524107017864,18,-0.05802743381407417,0.02936193350620726,0.20668531703901855,16,0.9945686051607143,0.994813246,1.0325153660000002,0.0036734840360682737,0.6572328262333103,15,12,149.92881158392856,170.8061565,151.8529436,135.927366675,40.92484201,37.95273179,-0.25269879315494204,0.9280046481809496,10,180.00090636785717,47.05738519,-0.4010697973344909,-153.4682921444643,1.962324066902492,-143.04354906160714,2.9070844170957804,0.05357142857142857,-0.4690867307142851,1,-0.5431394839285708,-0.04745894404761941,5.239737735659451,0.0005035376984132621,5.2415084666666685,0.7846842923171495,0.028899052865648416,0.030042811192918968,0.6607122401920539,0.014746831747613131,43.71,90.81
10,0.2519530994291896,1.1227114359999995,0.025210475931475983,4.9926354762592595,5.0038654395,0.8440426360000002,5.09181033,0.007038146218675544,0.5464224821837188,15,0.07324914583575241,0.004514313996206298,0.6292895959122513,17,1.0032748404814815,1.0106908455,1.03935765325,0.0048666164408835135,0.6161924785362596,13,10,150.50513573703705,170.4444222,151.51376885000002,135.52829499999999,40.59675164,37.82165201,-0.15775653524749458,0.9106923546124991,10,180.05142040925932,47.13122748,0.017309083637696888,-153.588957275,1.812975492025977,-143.02861858111112,2.519530994291896,0.037037037037037035,-0.14729047481481586,1,0.3274840481481474,0.3367571580246913,4.901409593538352,0.02856689403292088,4.736061066666666,0.8083158714747308,0.025210475931475983,0.0337874904759489,0.6387659188893476,0.016565445943556818,42.89,96.02
