Batch_ID,Flour_kg_range,Flour_kg_kurtosis,Sugar_kg_min,Sugar_kg_max,Sugar_kg_median,Sugar_kg_range,Sugar_kg_kurtosis,Sugar_kg_num_valleys,Yeast_kg_min,Yeast_kg_skewness,Yeast_kg_trend_slope,Yeast_kg_trend_r2,Yeast_kg_trend_pvalue,Salt_kg_mean,Salt_kg_max,Salt_kg_q25,Salt_kg_q75,Salt_kg_trend_r2,Salt_kg_trend_pvalue,Salt_kg_num_valleys,Water_Temp_C_num_peaks,Water_Temp_C_num_valleys,Mixer_Speed_RPM_mean,Mixer_Speed_RPM_max,Mixing_Temp_C_max,Mixing_Temp_C_median,Mixing_Temp_C_skewness,Mixing_Temp_C_trend_slope,Mixing_Temp_C_num_valleys,Fermentation_Temp_C_range,Fermentation_Temp_C_trend_r2,Oven_Temp_C_min,Oven_Temp_C_skewness,Oven_Humidity_pct_max,Oven_Humidity_pct_skewness,Oven_Humidity_pct_trend_r2,Oven_Humidity_pct_trend_pvalue,Flour_kg_out_of_tolerance_ratio,Sugar_kg_max_deviation,Salt_kg_mean_deviation,Salt_kg_out_of_tolerance_ratio,Mixer_Speed_RPM_mean_deviation,Mixer_Speed_RPM_max_deviation,Mixer_Speed_RPM_max_consecutive_oot,Mixing_Temp_C_max_consecutive_oot,Oven_Temp_C_max_deviation,Flour_kg_stability,Salt_kg_stability,Water_Temp_C_mean_change_rate,Water_Temp_C_change_rate_std,Final_Weight,Quality_Score
1,1.2442073489999999,0.006839100980700508,4.585764023,5.320582046,4.96400866,0.7348180229999999,-0.45720271651107325,13,1.812602992,-0.2923401041346656,-0.0009760354444444443,0.0281838609148639,0.22952030811165153,1.0157728091886793,1.090379516,0.982195398,1.049401446,0.008154799619432955,0.5201838550614486,13,10,11,149.7454228415094,170.3233305,41.0542188,38.13687848,-0.12616789586300378,0.10820377293097883,9,0.7526220100000032,0.0017292230791663892,177.8749051,0.20247774881888683,46.70264467,-0.18068493519718237,0.001431007720782092,0.7879865118806304,0.03773584905660377,8.284719539999994,1.5772809188679244,0.09433962264150944,-0.16971810566037768,14.144797733333329,20,7,1.4654898888888903,0.8205002599132605,0.9596645725628746,0.014234821889216766,0.011513922588874945,45.01,91.37
2,1.1107335440000004,-0.4009225821015958,4.610694943,5.421032276,4.951537933,0.8103373329999997,-0.3773940783915144,12,1.818697776,-0.5258631555511035,-0.000385209161990002,0.0059341325512178526,0.5835174235653271,0.9913207150943397,1.074045343,0.95032035,1.028163828,0.00476625442272195,0.6232802330178981,15,11,9,150.53659754339623,171.1824753,41.08769721,37.99864703,0.019839890622896917,0.11890780611353009,10,0.7555865900000001,0.007769110995572002,177.7547702,-0.1599728186619805,47.05645133,0.36688854480443694,0.004101471624538419,0.6486857308147254,0.07547169811320754,8.42064552,-0.867928490566038,0.07547169811320754,0.3577316955974853,14.121650199999996,20,11,1.2473498888888912,0.8008936254167005,0.9552306285523683,0.015912435224868293,0.013256543929530467,44.29,93.9
3,1.1445597240000005,-0.9829340708360781,4.526775897,5.44731059,5.037904316500001,0.9205346929999996,-0.34315663852851186,13,1.760534774,-0.1734791863966318,0.0005602326048632227,0.005296805908747241,0.6230090397810173,0.9986881605,1.107956058,0.9745371205,1.02617695275,0.010750280505241133,0.4831163451446886,15,11,9,152.17278162916668,170.4929817,40.80834796,37.705342115,0.1836189894003313,0.11772099159900135,9,0.7572785199999998,0.0005156465966480499,177.4946963,-0.0762912299759034,46.45560048,-0.16744795729066758,0.06122442450731094,0.08996628042160341,0.10416666666666667,9.464482059999995,-0.13118394999999947,0.0625,1.44852108611111,13.797219600000005,20,10,1.3918353888888961,0.7733055922914933,0.9577969328573491,0.013725150362461679,0.00972189256727524,44.35,95.61
4,1.407435434,0.3514734889708655,4.605938284,5.541323659,5.0348664880000005,0.9353853750000001,-0.007142281586101973,15,1.77747041,-0.12403023591314331,0.00016956732628168385,0.0007004297045148833,0.8493369938526389,0.989928559814815,1.064421681,0.9528197575,1.025444893,0.00306966755864079,0.6906905060731645,18,11,11,150.70222369814815,170.6812224,41.12567489,37.789877634999996,-0.09423452890265761,0.10801277256984941,11,0.6493860200000015,0.10309761509079392,177.399425,-0.45321446563238893,46.85747721,-0.1317832828100878,0.13036814453040954,0.0073109226733860605,0.09259259259259259,10.826473179999994,-1.007144018518519,0.018518518518518517,0.46814913209876513,14.335731866666663,20,5,1.4447638888888845,0.7793237954966469,0.9592257897971084,0.011323880532507883,0.00977968433687226,42.8,94.26
5,1.2466256419999997,-0.05671400621486811,4.64294699,5.431269926,4.995166359,0.7883229359999993,-0.6719039180501523,16,1.804133486,0.02221471115375252,-0.001191664379699249,0.038545226137316986,0.14327506662602396,1.0041287812982456,1.099717247,0.98861395,1.031557235,0.00017202098309830716,0.9228601819432352,16,10,8,149.77455097368417,170.292194,41.31084794,38.46251929,-0.1844299680855682,0.10634782505703916,9,0.88090957,3.538118966319625e-05,178.1143421,0.04614537976117841,46.79701034,-0.306296159780892,0.02990629437037508,0.19829736642650017,0.05263157894736842,8.625398519999994,0.4128781298245623,0.10526315789473684,-0.15029935087719357,13.80987539999999,21,8,1.2890101111111107,0.806505038218727,0.9596043141189282,0.010566305817820325,0.008155929141036165,45.77,100.0
6,1.4389358850000011,-0.09401635302905076,4.50286724,5.45157126,5.0276023895,0.9487040200000001,-0.1267897073820019,13,1.749724962,-0.40848734058329955,-4.14767049740066e-05,5.50860138323277e-05,0.9559038407898683,0.9861848489655172,1.076995757,0.9598296165,1.019301767,0.011704104891802807,0.4188849717662807,17,15,12,151.05492458448276,171.3974763,41.57455428,37.71992419,0.08815193526165718,0.10189822108800643,12,0.7532823000000022,0.0052491346594893675,177.5418306,-0.1422156858216618,47.87763752,0.1619271639053818,0.03348125297520438,0.1691845086371344,0.13793103448275862,9.942655200000008,-1.381515103448275,0.08620689655172414,0.7032830563218385,14.264984199999997,21,5,1.3656496666666682,0.7758787649799719,0.9594508684501255,0.017076630853065353,0.011283976782853573,42.41,90.88
7,1.3876163570000006,-0.5646485807605894,4.625656976,5.473696342,4.963653292,0.8480393660000001,-0.11992352794239558,15,1.802161508,0.7126549668749149,-0.0010637432432672156,0.0296290875311181,0.21777158348964595,0.9944314849056602,1.095114157,0.961295426,1.024385771,0.0009762978503968573,0.8242339851702645,15,7,11,150.4048922,171.051319,40.76525898,37.85386632,-0.03463782548849135,0.11110659272939849,8,0.6893443900000022,0.00035911604164598796,178.4240803,-0.1274448056749551,46.90200037,-0.6019805914626017,0.0007244318971509059,0.8482840217057415,0.11320754716981132,9.473926840000004,-0.5568515094339624,0.07547169811320754,0.26992813333333193,14.30836633333333,19,10,0.879805888888888,0.7775924652014702,0.9551449663469055,0.013790845296776945,0.009900546874368988,45.9,92.72
8,1.1192927350000001,-0.4422198207473578,4.64571549,5.392001504,4.943058777999999,0.7462860139999998,-0.5884868549053843,16,1.729459637,-0.3688174282561691,0.001610446460792316,0.052274933024305095,0.11025406139206896,0.9973235621800001,1.088672367,0.95838488475,1.0449234892500001,0.007286744609602735,0.5555834850213625,16,7,9,150.347425938,171.0200458,41.13998585,37.898296155,0.05811464919146748,0.11586891734405762,8,0.7543842599999948,0.019591423879860605,177.5010025,-0.19628384263534812,47.05019939,0.07142249834104603,0.024086109063734183,0.28184274170673745,0.08,7.84003007999999,-0.26764378199999955,0.08,0.23161729199999953,14.013363866666662,20,5,1.3883319444444453,0.799875741447584,0.9549384709171158,0.011875157493139422,0.009318084348122398,44.89,91.11
9,1.187149497,-0.8953833490606353,4.610532025,5.391936796,4.9727527160000005,0.781404771,-0.6931934638601911,18,1.842277036,-0.05802743381407417,-0.0007604914390977439,0.02936193350620726,0.20668531703901855,0.9945686051607143,1.108625279,0.9637729807500001,1.0325153660000002,0.0036734840360682737,0.6572328262333103,15,12,8,149.92881158392856,170.8061565,40.92484201,37.95273179,-0.25269879315494204,0.1176054380440875,10,0.7575024699999986,0.01498673124050919,177.7643482,-0.13232691925950527,47.05738519,-0.4010697973344909,0.012959985650633239,0.40348047098803763,0.05357142857142857,7.838735920000009,-0.5431394839285708,0.10714285714285714,-0.04745894404761941,13.87077099999999,19,11,1.4085996666666745,0.7846842923171495,0.9520549433400575,0.013013422869930721,0.008895000677470212,45.77,97.0
10,1.1227114359999995,-0.2756894986813876,4.550802185,5.394844821,5.0038654395,0.8440426360000002,-0.0029276467874801426,15,1.77708741,0.07324914583575241,-0.00038942938540118146,0.004514313996206298,0.6292895959122513,1.0032748404814815,1.101065807,0.9714137442499999,1.03935765325,0.0048666164408835135,0.6161924785362596,13,10,10,150.50513573703705,170.4444222,40.59675164,37.82165201,-0.15775653524749458,0.1129803294457785,10,0.8072522399999968,0.0625085487131235,177.4217071,-0.12457226926506461,47.13122748,0.017309083637696888,0.00292343739363349,0.6977863203250925,0.037037037037037035,8.983956299999996,0.3274840481481474,0.14814814814814814,0.3367571580246913,13.629614799999995,20,9,1.432384944444449,0.8083158714747308,0.9527335007148747,0.015068434552696987,0.009649642654254827,44.91,91.01
